Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Uchoa - SP;3555604;SP;10191;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;69491436,4
Prefeitura Municipal de Piquerobi - SP;3538303;SP;3706;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36575376,19
Prefeitura Municipal de Valentim Gentil - SP;3556107;SP;13732;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;82125982,11
Prefeitura Municipal de Taboï¿½o da Serra - SP;3552809;SP;297528;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1170744322,54
Prefeitura Municipal de Iacri - SP;3519204;SP;6269;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40986258,2
Prefeitura Municipal de Presidente Prudente - SP;3541406;SP;231953;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1065516919,35
Prefeitura Municipal de Itapeva - SP;3522406;SP;95241;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;536284840,44
Prefeitura Municipal de Sagres - SP;3544707;SP;2427;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27073452,76
Prefeitura Municipal de Alfredo Marcondes - SP;3500808;SP;4201;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34058191,48
Prefeitura Municipal de Viradouro - SP;3556800;SP;19133;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;110360757,31
Prefeitura Municipal de Pompï¿½ia - SP;3540002;SP;22326;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;163176082,11
Prefeitura Municipal de Flï¿½rida Paulista - SP;3516002;SP;14936;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61562231,85
Prefeitura Municipal de Poloni - SP;3539905;SP;6166;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39333638,65
Prefeitura Municipal de Parapuï¿½ - SP;3536000;SP;10934;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64131641,59
