"Municipio gestor";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
"351670 Garca";10866;84;805;10522;24;2723;17;-;-;-;9;-;1545;-;-;3670;57890;1286;101;-;-;-;2368;1;-;145;-;11;24;6;3;1;-;-;-;-;-;526;-;-;-;-;-;-;-;-;-;94;-;-;-;92721
"351680 Gastao Vidigal";-;44;-;537;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;382;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;1051
"351685 Gaviao Peixoto";-;71;-;139;-;205;7;-;-;-;-;-;14;-;-;116;4866;200;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5625
"351690 General Salgado";110;55;19;2321;-;284;57;-;-;-;-;-;89;-;-;-;3796;255;-;-;-;-;461;-;-;21;-;2;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;27;-;-;-;7598
"351700 Getulina";8915;33;316;103;-;231;-;-;-;-;-;-;65;-;-;1015;18395;100;-;-;-;-;368;-;-;22;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;18;-;-;-;29640
"351710 Glicerio";2586;613;414;-;-;-;-;-;-;-;-;-;14;-;-;490;5841;318;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;931;11268
"351720 Guaicara";6226;44;291;-;-;55;155;-;-;-;-;-;48;-;-;813;10014;253;-;-;-;-;302;-;-;10;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;23;-;-;-;18287
"351730 Guaimbe";2469;33;-;-;-;182;-;-;-;-;-;-;15;-;-;-;1656;476;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;4851
"351740 Guaira";24883;174;1388;19948;-;2029;898;359;-;-;20;-;705;-;-;2399;52446;853;22;-;-;-;1267;2;-;97;-;8;28;-;-;-;1;-;-;-;-;301;7;76;-;-;-;-;-;-;-;47;-;-;3744;111702
"351750 Guapiacu";19488;160;470;7759;-;649;338;-;-;-;-;-;208;-;-;1545;29977;1535;-;-;-;-;1919;-;-;69;-;110;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;35;-;-;173;64629
"351760 Guapiara";-;3886;-;4379;-;376;114;-;-;-;-;-;94;-;415;-;1728;248;-;-;-;-;-;39;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11306
"351770 Guara";4806;39;298;2139;-;1608;75;-;-;-;-;-;284;-;-;693;15110;226;8;-;-;-;837;18;-;13;-;2;-;-;-;-;-;-;-;-;-;177;-;-;-;-;-;-;-;-;-;45;-;-;-;26378
"351780 Guaracai";1834;2435;45;-;-;-;-;-;-;-;-;-;-;-;-;477;8856;30;-;-;-;-;283;-;-;26;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;13992
"351790 Guaraci";16837;7;3413;3767;-;585;131;-;-;-;-;-;3040;-;-;1261;12048;290;-;-;-;-;244;31;-;48;-;24;-;-;-;-;-;-;-;-;1;24;-;-;-;-;-;-;-;-;-;-;-;-;-;41751
"351800 Guarani d'Oeste";-;18;-;-;-;-;-;-;-;-;-;-;17;-;-;-;587;628;-;-;-;-;-;1;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3046;4344
"351810 Guaranta";2267;32;206;-;-;-;-;-;-;-;-;-;-;-;-;378;3289;35;-;-;-;-;83;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6298
"351820 Guararapes";5345;113;175;3872;-;1280;72;-;-;-;111;-;517;-;-;1257;31324;792;-;-;-;-;1322;-;-;73;-;27;-;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;245;-;-;1861;48555
"351830 Guararema";1096;190;1077;14874;578;2211;502;-;-;-;12;-;1346;-;-;1906;23117;3008;30;-;-;-;762;-;-;57;-;-;1;-;-;2;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;50899
"351840 Guaratingueta";818;288;101;37468;327;238;742;177;60;12;35;-;806;-;-;517;18841;157;1;335;1352;-;1050;196;-;342;-;-;-;-;-;-;-;-;-;-;-;286;-;-;17;-;-;-;-;-;-;-;6;-;5994;70166
"351850 Guarei";10312;16;5427;6196;-;380;105;-;-;-;-;-;139;-;-;1038;16904;612;-;-;-;-;841;-;-;128;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;42250
"351860 Guariba";14533;353;53;12253;100;1973;467;51;3;-;56;-;608;3;-;635;27151;1148;7;-;-;3;2283;-;-;64;-;397;-;-;-;-;-;-;-;-;-;350;1;-;-;-;-;-;-;-;-;78;-;-;2488;65058
"351870 Guaruja";975;18;6199;157344;2531;12707;2127;1410;78;-;244;-;4032;804;-;9214;266005;3677;1843;548;1708;756;1698;38;-;771;-;174;92;25;7;34;20;-;-;1;-;155;-;21;14;-;-;-;-;-;-;93;8;-;-;475371
"351880 Guarulhos";2073;20512;13993;446266;4291;25884;6585;1797;510;-;378;-;6969;36;750;16081;467320;1949;438;-;8305;8;3422;381;-;1850;-;321;28;-;26;12;41;-;-;-;-;907;-;189;79;-;-;-;-;-;-;336;157;-;246;1032140
"351885 Guatapara";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;2;15
"351890 Guzolandia";1455;42;13;-;-;3;-;-;-;-;-;-;-;-;-;335;5798;-;-;-;-;-;153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;7828
"351900 Herculandia";2099;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;2139
"351905 Holambra";1583;95;241;-;-;576;1;-;-;-;-;-;1;-;-;450;14302;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;17355
"351907 Hortolandia";5661;155;2841;90527;105;9821;2291;53;103;-;269;-;1757;-;1;5437;167669;1303;18;-;1990;8;1489;3;-;1433;-;13;20;-;-;24;-;-;-;-;-;93;1;205;23;-;-;-;-;-;-;-;13;-;-;293326
"351910 Iacanga";1153;103;-;492;-;111;-;-;-;-;-;-;-;-;-;-;3661;-;-;-;-;-;16;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;5557
"351920 Iacri";4212;-;377;-;-;18;-;-;-;-;-;-;5;-;-;479;8267;228;-;-;-;-;290;-;-;-;-;1;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;12;-;-;-;13935
"351925 Iaras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;753
"351930 Ibate";3460;-;119;9346;-;419;341;-;-;-;-;-;253;-;-;1204;26038;751;17;-;-;-;493;39;-;18;-;1;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;42561
"351940 Ibira";1;69;-;4128;-;692;340;-;-;-;-;-;13;-;-;93;5599;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;10960
"351950 Ibirarema";6821;90;40;4399;-;437;108;-;-;-;-;-;44;-;-;959;18529;265;-;-;-;-;900;-;-;50;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;20;-;-;1022;33728
"351960 Ibitinga";12685;396;2809;8662;-;2635;168;91;22;-;-;-;869;-;-;4766;46137;1606;4;-;-;3;-;2;-;147;-;-;-;-;-;-;8;-;-;-;-;-;-;37;-;-;-;-;-;-;-;65;-;-;-;81112
"351970 Ibiuna";15;-;286;-;-;4304;-;-;-;-;-;-;1063;-;-;6004;164383;-;978;-;-;-;-;400;-;89;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;177732
"351980 Icem";6;19;1;704;-;6;-;-;-;-;-;-;49;-;-;242;6141;146;-;-;-;-;132;-;-;15;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;1041;8510
"351990 Iepe";3487;83;-;2517;-;463;100;-;-;-;-;-;126;-;-;147;6057;-;12;-;-;-;-;13;-;31;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13040
"352000 Igaracu do Tiete";8918;47;73;8332;-;121;275;-;-;-;-;-;91;-;-;480;8942;1430;-;-;-;-;1290;-;-;-;-;14;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;42;-;-;2495;32663
"352010 Igarapava";9822;183;104;9998;-;780;204;378;61;-;9;-;100;1;-;624;25897;461;-;-;-;1;629;-;-;50;-;5;-;-;2;4;-;-;-;-;-;145;-;4;-;-;-;-;-;-;-;20;-;-;-;49482
"352020 Igarata";3;56;52;-;-;-;-;-;-;-;-;-;-;-;-;459;5516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2997;9083
"352030 Iguape";393;63;1256;-;-;1704;-;-;-;-;-;-;142;-;-;749;11298;-;-;-;-;-;-;-;-;52;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15658
"352042 Ilha Comprida";491;229;-;12244;-;1386;-;-;-;-;-;-;135;-;450;719;13732;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29393
"352044 Ilha Solteira";8695;56;238;-;-;6;-;-;-;-;-;-;-;-;-;999;21010;-;-;-;-;-;255;143;-;1;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;31500
"352040 Ilhabela";18696;388;123;39522;197;2406;908;581;-;-;3;-;597;-;-;165;39338;754;1;-;-;6;211;267;-;229;-;12;-;-;1;-;-;-;-;-;-;48;1;7;-;-;-;-;-;-;-;15;-;-;5783;110259
"352050 Indaiatuba";9325;4457;4466;208058;734;11092;4517;461;328;-;145;-;7213;86;-;4140;162243;1474;55;-;1435;52;1337;775;-;533;-;104;58;4;-;1;7;-;-;-;-;72;-;7;2;-;-;-;-;-;-;341;2;-;-;423524
"352060 Indiana";-;22;-;814;-;-;-;-;-;-;-;-;-;-;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1284
"352070 Indiapora";27;20;-;2305;-;158;-;-;-;-;-;-;44;-;-;-;2061;549;2;-;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;1687;6911
"352080 Inubia Paulista";4553;-;234;-;-;7;28;-;-;-;-;-;15;-;-;238;3202;88;-;-;-;-;446;-;-;1;-;2;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;11;-;-;-;8846
"352090 Ipaussu";1694;-;154;484;-;524;-;-;-;-;-;-;68;-;-;113;8013;230;27;-;-;-;733;-;-;12;-;17;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;40;-;-;-;12187
"352100 Ipero";-;126;1368;3502;-;979;130;-;-;-;-;-;-;-;-;-;25241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31346
"352110 Ipeuna";1057;-;171;-;-;247;40;-;-;-;-;-;81;-;-;585;4475;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6656
"352115 Ipigua";-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"352120 Iporanga";-;-;-;-;-;-;72;-;-;-;-;-;18;-;-;48;741;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;903
"352130 Ipua";122;-;20;1058;8;328;-;-;-;-;-;-;76;-;19;157;5706;-;4;-;-;-;81;-;-;52;-;2;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;7668
"352140 Iracemapolis";9416;-;211;-;-;55;-;-;-;-;-;-;88;-;-;1274;15267;-;20;-;-;-;791;-;-;2;-;15;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;400;27665
"352150 Irapua";6597;34;499;1;-;-;-;-;-;-;-;-;44;-;-;1017;17252;690;-;-;-;-;230;-;-;2;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;3781;30217
"352160 Irapuru";3981;31;1529;-;-;-;-;-;-;-;-;-;10;-;-;228;6101;-;1;-;-;-;143;-;-;1;-;1;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;12043
"352170 Itabera";2744;22;87;2277;-;416;235;-;-;-;-;-;216;-;-;711;19960;105;-;-;-;-;151;-;-;15;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;27000
"352180 Itai";-;-;47;430;-;672;-;-;-;-;-;-;71;-;-;114;9078;548;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10960
"352190 Itajobi";9055;200;705;1450;-;832;97;-;-;-;-;-;180;-;-;889;28019;1799;3;-;-;-;949;200;-;56;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;24;-;-;-;44565
"352200 Itaju";4614;17;405;-;-;2;-;-;-;-;-;-;-;-;-;442;7301;-;-;-;-;-;228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;53;-;-;-;13094
"352210 Itanhaem";7049;122;2879;48263;567;3147;915;7;-;-;38;-;923;-;-;4689;86829;470;112;-;-;-;369;-;-;68;-;3;-;-;1;12;-;-;-;-;6;13;-;-;-;-;-;-;-;-;-;-;-;-;8421;164903
"352215 Itaoca";-;7;-;-;-;-;9;-;-;-;-;-;18;-;-;23;98;122;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;301
"352220 Itapecerica da Serra";280;181;7164;9714;-;2436;26;-;-;-;30;-;1600;-;-;1284;116082;667;-;-;2567;-;525;-;-;202;-;90;-;-;-;-;22;-;-;-;-;146;-;-;16;-;-;-;-;-;-;-;6;-;-;143038
"352230 Itapetininga";62;806;11;59765;1518;6617;1314;1052;-;-;120;-;1496;154;-;14;46457;3;130;-;-;55;342;70;-;571;-;15;-;-;12;22;1;-;-;4;-;72;-;151;-;-;-;-;-;-;-;52;-;-;-;120886
"352240 Itapeva";19821;515;4626;39359;1724;4100;1069;370;57;-;205;-;1209;530;3;1868;73037;985;90;407;2462;941;1641;81;-;105;-;6;18;1;2;41;21;1;-;3;-;422;-;-;18;-;-;-;-;-;-;-;4;-;-;155742
"352250 Itapevi";1439;328;5818;84527;-;18081;1180;-;-;-;-;-;745;-;-;7496;127240;1016;688;-;-;-;79;25;-;500;-;37;-;-;-;20;18;-;-;1;-;126;-;40;-;-;-;-;-;-;-;-;-;-;-;249404
"352260 Itapira";6991;-;289;36934;2;2971;775;299;-;-;100;-;3398;28;13;1934;60164;2230;155;-;-;59;2864;-;-;1017;-;7;49;-;-;-;11;-;-;-;-;473;-;-;-;-;-;-;-;-;-;61;-;-;4329;125153
"352265 Itapirapua Paulista";-;44;-;-;-;-;15;-;-;-;-;-;21;-;-;140;1066;150;-;-;-;-;88;-;-;11;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;1583
"352270 Itapolis";5040;352;1054;5820;-;1545;611;120;-;-;-;-;544;-;-;1704;38214;1173;-;-;-;-;879;65;-;88;-;1;-;-;-;-;-;-;-;-;-;128;-;24;-;-;-;-;-;-;-;37;-;-;3501;60900
"352280 Itaporanga";225;55;169;-;-;-;-;-;-;-;-;-;-;-;-;247;5667;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;6385
"352290 Itapui";1214;539;726;4576;-;932;252;-;-;-;-;-;143;-;-;1697;324456;521;-;-;-;-;291;71;-;9;-;-;-;-;-;-;5;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;3134;338641
"352300 Itapura";132;77;-;-;-;40;50;-;-;-;-;-;-;-;-;1;198;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;5678;6282
"352310 Itaquaquecetuba";10067;279;3014;10565;-;3969;357;-;-;-;36;-;557;-;8;11705;267965;13720;28;-;-;-;25;1;-;328;-;1;-;-;-;-;88;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;322715
"352320 Itarare";-;-;82;8311;-;1416;246;21;-;-;32;-;422;-;-;72;12833;-;84;-;-;-;-;-;-;159;-;2;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23685
"352340 Itatiba";30074;591;2124;43864;149;4983;2375;281;60;15;191;-;3014;-;-;6440;91814;2367;164;-;987;-;5876;3;-;255;-;56;-;-;14;19;4;-;-;-;-;478;-;17;2;-;-;-;-;-;-;43;1;-;1742;198003
"352350 Itatinga";-;62;-;3724;-;676;201;-;-;-;-;-;327;-;-;-;4053;-;-;-;-;-;1;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2204;11308
"352360 Itirapina";10462;9;321;5;-;799;-;-;-;-;-;-;224;-;-;1428;26404;304;2;-;-;-;107;-;-;118;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;2366;42583
"352370 Itirapua";-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;1041;1085
"352380 Itobi";705;-;-;-;-;-;25;-;-;-;-;-;-;-;-;193;8266;102;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;9392
"352390 Itu";16619;988;1583;74475;1032;6194;2565;1177;-;-;357;-;2146;-;-;3059;97563;2609;37;-;-;-;883;182;-;438;-;35;542;-;-;9;11;-;-;-;-;200;-;159;-;-;-;-;-;-;-;108;-;-;4370;217341
"352400 Itupeva";7262;377;4295;42953;-;2507;634;447;34;-;58;-;711;-;370;1056;75331;2325;124;-;-;-;2223;73;-;41;-;24;-;-;-;-;-;-;-;-;-;287;-;-;-;-;-;-;-;-;-;7;-;-;-;141139
"352410 Ituverava";1490;-;45;18631;-;2004;268;512;18;-;63;-;62;-;1;169;12920;1179;20;-;1296;-;1237;51;-;9;-;-;-;-;-;1;-;-;-;-;-;202;-;-;14;-;-;-;-;-;-;62;27;-;-;40281
"352420 Jaborandi";1264;248;229;2021;-;-;-;-;-;-;-;-;60;-;-;221;11752;435;-;-;-;-;-;-;-;60;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16291
"352430 Jaboticabal";25564;297;1651;37796;303;671;868;157;-;-;35;-;1186;-;3;928;46076;777;938;-;1762;-;2656;-;-;664;-;42;4;-;-;6;-;-;-;-;-;206;-;1;5;-;-;-;-;-;-;-;4;-;-;122600
"352440 Jacarei";25139;1252;2025;135332;1383;7088;3064;567;268;29;396;-;4384;1091;-;4085;100696;8682;1118;703;1881;686;1208;2;-;271;-;7;424;9;5;32;-;-;-;-;-;159;-;177;22;-;-;-;-;-;-;15;34;-;-;302234
"352450 Jaci";1052;11;-;-;-;-;75;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;1360
"352460 Jacupiranga";642;-;-;8764;-;457;108;-;-;-;-;-;208;-;-;601;15146;1105;7;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27059
"352470 Jaguariuna";284;157;1008;40667;151;4643;2058;660;117;-;178;-;2309;-;1;9347;41131;2759;205;-;-;4;351;-;-;210;-;20;-;-;-;-;-;-;-;-;8;19;-;-;-;-;-;-;-;-;-;24;-;-;-;106311
"352480 Jales";265;277;1;5504;-;1701;-;-;-;-;-;-;408;-;-;991;32388;484;-;-;-;-;220;-;-;179;-;7;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;21;-;-;-;42494
"352490 Jambeiro";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1519;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1549
"352500 Jandira";988;103;78;50941;-;2440;191;-;-;-;-;-;708;-;-;2347;63272;1380;-;-;-;-;688;-;-;273;-;44;-;-;-;1;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;7;-;-;-;123509
"352510 Jardinopolis";32179;235;521;-;-;16;-;-;-;-;-;-;233;-;-;2949;26715;451;-;-;-;-;1533;-;-;77;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;20;-;-;-;65149
"352520 Jarinu";-;-;-;16349;-;885;-;-;-;-;-;-;225;-;-;34;21388;954;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39836
"352530 Jau";7078;159;369;36702;69;5719;740;1113;-;-;29;-;2385;34;-;1055;79753;2233;388;-;2052;-;619;156;-;17;-;2;142;-;-;14;22;-;-;-;-;210;-;-;41;-;-;-;-;-;-;993;40;-;-;142134
"352540 Jeriquara";-;-;224;-;-;-;-;-;-;-;-;-;-;-;-;100;2025;85;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2439
"352550 Joanopolis";1351;78;152;-;-;363;106;-;-;-;-;-;96;-;-;366;13837;-;-;-;-;-;534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;16970
"352560 Joao Ramalho";-;110;-;1496;-;-;-;-;-;-;-;-;-;-;-;-;276;181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2063
"352570 Jose Bonifacio";6739;161;150;3906;-;11;171;-;-;-;-;-;9;-;-;1273;28990;1361;-;-;-;-;1252;118;-;-;-;86;-;-;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;88;-;-;-;44517
"352580 Julio Mesquita";-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;166;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382
"352585 Jumirim";471;40;-;1799;-;-;-;-;-;-;-;-;14;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1850;4493
"352590 Jundiai";7946;1545;18023;163768;2864;20357;7907;2156;529;169;662;-;26613;85;7;7066;283685;4875;1985;1879;-;130;7951;762;-;523;-;125;601;1;3;139;8;1;-;-;-;1630;-;16;2;-;-;-;-;1;-;1171;-;-;-;565185
"352600 Junqueiropolis";448;26;6081;4738;-;836;-;-;-;-;-;-;691;-;367;411;12285;1478;90;-;-;-;538;326;-;39;-;4;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;78;-;-;4532;32986
"352610 Juquia";-;194;2515;7740;-;692;171;-;-;-;-;-;273;-;-;632;11722;523;-;-;-;-;194;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;24749
"352620 Juquitiba";-;240;1047;-;-;1292;130;-;-;-;-;-;279;-;-;279;18084;309;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21665
"352630 Lagoinha";-;11;20;-;-;-;-;-;-;-;-;-;10;-;-;5;1408;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1458
