"Municipio";"0101 Acoes coletivas/individuais em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0502 Avaliacao de morte encefalica";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0802 Acoes relacionadas ao atendimento";"Total"
"350010 Adamantina";-;2;5221;39;180;69;144;-;-;6;-;144;232;62;1029;915;3595;-;30;107;-;6;5;3;33;-;-;2;-;-;41;33;4;-;30;4;-;1;-;-;4;-;-;-;-;-;-;106;49;12;996;13104
"350050 Aguas de Lindoia";-;-;-;-;17;28;-;-;-;-;-;40;-;-;21;-;60;1;3;19;-;-;-;1;32;-;-;-;-;-;6;4;-;-;6;-;-;-;3;-;-;-;-;-;-;-;-;-;7;-;265;513
"350070 Agudos";-;-;346;-;8;-;-;-;-;-;-;3;-;20;24;-;14;-;-;-;-;-;-;7;1;-;1;1;-;2;33;21;13;-;15;-;1;-;-;-;-;-;-;-;-;-;-;-;8;-;-;518
"350100 Altinopolis";-;-;669;-;32;3;-;-;-;-;-;33;-;288;936;53;84;-;5;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;82;2202
"350110 Alto Alegre";-;-;46;-;5;-;-;-;-;-;-;-;-;2;11;-;9;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89
"350130 Alvares Machado";-;-;421;-;12;-;-;-;-;-;-;32;-;-;323;-;41;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;832
"350160 Americana";-;1;7992;103;105;191;160;16;-;10;1;585;276;122;3591;3982;523;15;28;171;-;9;210;49;4;-;2;2;-;-;43;62;45;2;80;7;-;-;11;-;4;-;-;-;-;-;-;29;43;111;2229;20814
"350170 Americo Brasiliense";-;-;534;-;2;4;-;-;-;-;-;7;-;-;133;-;17;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138;837
"350190 Amparo";-;-;6031;37;236;67;158;-;-;-;-;271;-;192;2064;2472;4787;4;39;74;-;4;-;7;179;-;-;1;-;-;24;28;6;-;47;4;-;-;3;-;-;-;-;-;-;-;-;3;35;-;1098;17871
"350220 Angatuba";-;-;1702;-;248;-;-;-;-;-;-;83;-;17;709;225;84;2;5;11;-;6;-;7;-;-;-;-;-;-;8;-;5;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;737;3871
"350260 Aparecida d'Oeste";-;-;8;-;-;-;-;-;-;-;-;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;45
"350270 Apiai";-;10;412;-;68;3;-;-;-;-;-;105;-;943;818;63;87;1;1;14;-;1;-;9;139;-;1;2;-;-;7;4;3;-;12;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;393;3112
"350280 Aracatuba";-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;1860;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1969
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350320 Araraquara";-;24;16410;579;1135;333;490;60;-;61;28;868;-;10;5855;7095;1050;251;103;233;-;14;588;50;288;-;11;19;30;101;111;103;47;2;71;37;-;3;14;63;-;4;4;6;-;5;-;160;790;-;3225;40331
"350330 Araras";-;12;11504;167;741;93;110;1;-;12;-;791;210;-;20480;3170;161;86;43;156;-;3;698;30;137;-;4;14;-;30;95;52;44;1;56;20;1;-;9;8;3;-;-;-;-;-;-;8;221;-;1895;41066
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"350390 Aruja";-;60;2784;16;16;23;29;-;-;-;-;352;-;220;2440;-;85;1;1;24;-;5;-;30;-;-;-;-;-;-;-;-;4;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6131
"350400 Assis";-;1;3722;80;112;226;65;-;-;7;-;153;27;42;939;712;90;-;6;22;-;3;66;16;663;-;5;5;-;37;44;153;53;1;32;143;7;-;13;-;-;-;-;-;-;-;-;17;120;85;828;8495
"350410 Atibaia";-;-;3438;-;279;24;-;-;-;3;-;100;-;-;961;-;130;10;12;19;-;8;-;23;-;-;-;-;-;-;31;57;48;-;21;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;528;5693
"350420 Auriflama";-;-;240;30;8;-;-;-;-;-;-;7;-;-;116;53;37;-;4;14;-;-;-;1;1;-;-;-;-;-;23;-;30;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;137;711
"350450 Avare";-;1;5816;84;376;51;140;11;-;1;-;468;70;134;1923;1448;207;7;33;72;-;13;6;45;1084;-;21;1;-;4;81;184;26;-;30;7;6;-;38;2;3;-;-;-;-;-;-;3;190;-;1723;14309
"350520 Bariri";-;-;2010;-;99;17;-;-;-;-;-;99;31;10;636;12;97;-;3;30;-;8;-;1;1;-;-;-;-;-;24;3;6;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;597;3694
"350530 Barra Bonita";-;-;1587;11;86;44;-;-;-;2;-;97;85;828;1061;328;97;2;6;43;-;3;-;5;45;1;-;-;-;-;19;17;1;-;15;-;-;-;2;-;-;-;-;-;-;-;-;19;24;-;428;4856
"350550 Barretos";-;4;11687;79;543;279;547;15;-;44;7;752;261;-;2263;2196;591;2;35;146;-;15;400;25;2;-;4;6;-;48;48;106;27;-;55;13;1;2;15;-;4;-;-;-;-;-;-;48;306;5;1281;21862
"350570 Barueri";-;241;50628;202;835;385;650;-;-;108;-;2842;389;28463;34420;2452;1353;43;144;385;-;15;888;177;281;10;28;47;145;23;304;145;282;16;165;43;7;-;26;-;-;-;-;16;-;-;-;212;117;13;6119;132619
"350580 Bastos";-;-;245;-;29;-;-;-;-;-;-;-;3;-;103;-;63;-;1;3;-;1;-;-;-;-;-;-;-;-;12;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;573
"350590 Batatais";-;1;4293;35;275;58;128;-;-;-;-;247;-;76;1749;1494;488;6;11;54;-;11;428;4;9;-;-;2;102;-;34;47;13;-;35;7;2;-;-;-;3;-;-;-;-;-;-;70;70;-;734;10486
"350600 Bauru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350610 Bebedouro";-;-;1817;55;1;13;-;-;-;-;-;115;-;1010;1409;13;56;-;4;21;-;-;-;20;73;-;-;-;-;1;59;9;25;-;56;2;-;-;1;-;-;-;-;-;-;-;-;4;11;-;338;5113
"350630 Bernardino de Campos";-;-;458;-;13;-;-;-;-;-;-;34;-;-;513;-;50;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;1138
"350635 Bertioga";-;-;264;-;-;-;-;-;-;-;-;-;-;66;1666;-;97;3;9;-;-;3;-;38;44;-;-;-;19;-;8;22;19;1;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319;2614
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350650 Birigui";-;-;5274;43;497;-;-;-;-;-;-;373;150;63;1734;-;169;-;-;153;-;13;-;30;1;-;-;3;-;-;28;79;21;-;27;6;-;-;13;-;-;-;-;-;-;-;-;4;72;-;1436;10189
"350670 Boa Esperanca do Sul";-;-;46;-;-;-;-;-;-;-;-;1;-;-;10;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;87
"350680 Bocaina";-;-;49;-;18;3;-;-;-;-;-;7;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;118
"350700 Boituva";-;45;1924;33;67;18;49;-;-;-;-;114;-;1615;1095;189;97;-;5;6;-;4;2;23;7;-;-;-;-;2;15;-;18;-;28;1;-;-;-;-;-;-;-;-;-;-;-;21;2;-;382;5762
"350710 Bom Jesus dos Perdoes";-;-;-;-;6;-;-;-;-;-;-;7;-;-;57;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;116
"350740 Borborema";-;-;301;16;16;-;-;-;-;-;-;8;14;-;905;-;26;4;1;7;-;1;-;-;-;-;-;-;-;-;7;-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;132;1454
"350760 Braganca Paulista";-;-;5093;150;526;79;224;-;-;13;-;221;53;95;2207;1207;181;2;8;34;-;9;254;26;6;-;-;1;98;11;61;73;44;-;63;10;-;-;5;-;-;-;-;-;-;-;-;24;137;71;1083;12069
"350790 Brotas";-;-;420;-;33;2;-;-;-;-;-;29;-;327;996;204;42;6;2;5;-;1;-;4;-;-;-;-;-;-;-;13;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;7;-;301;2400
"350810 Buritama";-;-;492;-;27;6;-;-;-;-;-;33;-;-;162;-;40;-;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139;910
"350850 Cacapava";-;2;1420;29;173;15;70;1;-;3;-;144;136;5109;1669;2699;120;-;24;54;-;5;-;10;95;-;2;-;-;4;34;20;18;-;12;56;-;-;4;-;4;-;-;-;-;-;-;-;36;-;1152;13120
"350860 Cachoeira Paulista";-;-;242;-;54;-;-;-;-;-;-;20;-;1191;271;-;57;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;1863
"350880 Cafelandia";-;-;328;-;32;4;-;-;-;-;-;21;-;-;72;8;29;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112;615
"350900 Caieiras";-;-;300;-;-;-;-;-;-;-;-;13;-;-;400;-;46;3;11;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;774
"350920 Cajamar";-;-;3053;-;217;17;99;-;-;-;-;133;-;142;3082;-;102;-;-;-;-;3;-;24;-;-;-;-;-;-;-;-;46;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6951
"350930 Cajobi";-;-;54;-;-;-;-;-;-;-;-;2;-;2;43;-;9;-;-;-;-;-;-;-;4;-;-;1;-;-;2;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;28;151
"350940 Cajuru";-;-;1668;61;59;45;53;-;-;2;-;62;60;-;299;225;147;-;8;-;-;11;-;2;27;-;2;-;-;-;12;8;15;-;22;-;-;-;2;-;-;-;-;-;-;-;-;-;4;-;611;3405
"350950 Campinas";-;497;88141;2191;3105;1176;2380;235;-;110;19;2338;-;2380;43492;24484;2249;134;501;1131;-;48;1690;232;3562;3;54;130;75;184;439;432;355;34;356;110;25;1;77;103;25;-;-;-;-;1;-;766;1568;335;16623;201791
"350960 Campo Limpo Paulista";-;2;9103;25;523;49;181;-;-;-;-;148;-;3352;3693;1663;162;2;27;29;-;34;9;30;83;-;-;-;-;22;2;-;3;-;54;16;-;-;-;-;2;-;-;-;-;-;-;70;1;-;896;20181
"350970 Campos do Jordao";-;-;1444;-;26;9;-;-;-;-;-;64;-;1597;889;76;106;-;2;-;-;6;-;13;1;-;-;-;-;-;8;-;14;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;426;4719
"351000 Candido Mota";-;-;632;64;34;20;-;-;-;4;-;15;-;-;21;894;74;8;2;25;-;6;-;4;3;-;-;2;-;3;43;11;77;1;11;-;-;-;4;-;-;-;-;-;-;-;-;-;7;-;396;2361
"351020 Capao Bonito";-;-;1580;-;120;12;-;-;-;2;-;79;43;47;719;300;100;3;1;28;-;3;-;21;-;-;-;-;-;-;8;2;20;-;27;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;654;3774
"351040 Capivari";-;-;3339;27;192;57;51;-;-;2;-;261;-;28;1865;485;123;14;21;22;-;6;-;18;95;-;-;1;-;2;14;16;16;1;30;26;3;1;3;-;3;-;-;-;-;-;-;7;18;-;554;7301
"351050 Caraguatatuba";-;2;9150;87;292;207;323;-;-;26;-;535;179;2440;2309;1205;445;4;70;139;-;22;-;45;6;-;1;2;8;12;49;59;53;4;104;9;2;1;17;-;-;-;-;-;-;-;-;51;78;118;1450;19504
"351060 Carapicuiba";-;122;-;-;130;-;-;-;-;-;-;30;-;-;1346;-;150;2;6;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174;1967
"351080 Casa Branca";-;-;478;14;27;14;-;-;-;-;-;29;-;-;424;-;56;-;2;21;-;1;-;-;87;-;-;-;16;-;21;18;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;69;1290
"351100 Castilho";-;-;140;-;11;-;-;-;-;-;-;4;-;-;301;42;29;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;657
"351110 Catanduva";-;-;1219;-;-;-;-;-;-;-;-;-;-;-;-;-;3741;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4960
"351140 Cerqueira Cesar";-;-;326;-;24;-;-;-;-;-;-;83;9;13;416;32;57;2;3;-;-;7;-;4;3;-;-;-;-;-;4;-;2;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;233;1230
"351150 Cerquilho";-;-;455;-;42;-;-;-;-;-;-;21;-;589;149;34;15;1;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;126;1445
"351160 Cesario Lange";-;-;284;-;16;-;2;-;-;-;-;8;-;-;2;-;20;-;-;-;-;1;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;422
"351170 Charqueada";-;-;302;-;-;-;-;-;-;-;-;-;-;-;18;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;350
"351200 Colina";-;-;11;-;-;-;-;-;-;-;-;-;-;-;17;392;46;-;9;-;-;1;-;3;-;-;-;-;-;-;6;7;3;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;316;822
"351210 Colombia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351220 Conchal";-;-;45;14;10;-;25;-;-;-;-;51;14;352;285;58;61;2;1;7;-;2;-;18;61;-;-;-;-;-;20;11;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;12;16;154;1225
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;-;10;-;-;254;-;41;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;369
"351280 Cosmopolis";-;1;3119;-;83;20;15;-;-;4;-;16;-;-;433;-;40;-;2;-;-;-;-;9;-;-;1;-;-;-;2;19;2;-;15;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;167;3949
"351310 Cravinhos";-;-;457;-;1;2;6;-;-;-;-;9;-;-;-;31;36;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;619
"351340 Cruzeiro";-;3;9791;83;242;73;153;-;-;18;-;582;204;213;3549;1807;226;10;48;112;-;11;53;30;725;-;-;-;-;2;60;28;7;2;45;9;-;-;7;-;1;-;2;4;-;-;-;108;91;-;2910;21209
"351350 Cubatao";-;3;9675;173;283;151;136;-;-;25;-;416;47;75;10710;1416;207;9;69;30;-;11;216;48;176;-;51;3;-;5;54;164;76;-;40;8;1;2;20;-;7;-;-;-;-;-;-;26;108;1;2119;26561
"351360 Cunha";-;-;687;23;53;5;-;-;-;-;-;26;2;22;338;85;59;-;1;1;-;3;-;2;84;-;-;-;-;2;12;-;9;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;243;1672
"351370 Descalvado";-;-;550;10;7;-;-;-;-;-;-;54;-;241;1807;80;62;4;2;18;-;3;-;1;94;-;4;1;-;9;9;16;10;-;15;-;-;-;3;-;-;-;-;-;-;-;-;18;15;12;115;3160
"351380 Diadema";-;-;34555;-;1263;161;205;-;-;-;-;583;192;80;10010;3837;581;6;121;267;-;8;1150;29;180;-;-;-;-;-;56;35;47;2;41;13;-;-;2;-;12;-;-;-;-;-;-;282;17;-;2415;56150
"351410 Dois Corregos";-;-;387;-;53;-;-;-;-;-;-;16;12;574;1634;244;73;-;6;12;-;-;-;5;-;-;-;-;-;-;2;4;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;508;3543
"351440 Dracena";-;-;6875;24;240;53;96;-;-;-;-;375;157;59;776;1524;148;3;29;91;-;3;226;1;3;-;-;-;-;-;19;27;1;-;31;10;1;-;-;-;7;-;-;-;-;-;-;7;42;-;1012;11840
"351450 Duartina";295;174;529;-;68;3;-;-;-;-;-;15;-;433;1154;-;69;1;2;10;-;11;589;-;13;-;-;-;-;-;-;1;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;183;3558
"351500 Embu das Artes";-;-;38;-;-;-;61;-;-;-;-;154;-;38;2579;-;220;4;5;-;-;9;-;20;47;-;-;-;-;-;-;-;103;-;29;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;204;3526
"351510 Embu-Guacu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;137;4;1;-;-;31;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;177
"351518 Espirito Santo do Pinhal";-;-;5742;33;135;28;70;4;-;-;-;89;82;25;5401;1700;98;1;89;38;-;4;1;4;1;-;-;-;-;-;28;21;25;-;20;3;-;-;-;-;-;-;-;-;-;-;-;2;31;17;845;14537
"351520 Estrela d'Oeste";-;-;216;1;4;-;-;-;-;-;-;2;-;6;38;19;29;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;66;391
"351540 Fartura";-;-;414;-;52;-;-;-;-;-;-;53;-;21;311;4;38;5;1;-;-;1;-;15;-;-;-;-;-;-;2;1;3;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;1133
"351620 Franca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2875;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2875
"351630 Francisco Morato";-;-;8148;1;297;-;-;-;-;-;-;460;-;189;1769;737;209;4;13;-;-;17;-;54;66;-;-;-;-;-;-;1;25;-;45;-;-;-;-;-;-;-;-;-;-;-;-;16;-;1;947;12999
"351660 Galia";-;-;33;-;4;-;-;-;-;-;-;-;-;-;30;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;75
"351670 Garca";-;-;3872;36;237;31;-;-;-;1;-;94;57;96;865;2077;93;4;8;32;-;3;-;11;112;-;1;-;-;-;23;14;34;-;33;-;-;-;1;-;1;-;-;-;-;-;-;3;4;41;655;8439
"351690 General Salgado";-;-;231;-;38;-;-;-;-;-;-;58;-;-;80;-;25;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;475
"351700 Getulina";-;28;252;-;8;-;-;-;-;-;-;3;-;196;264;-;8;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;763
"351740 Guaira";-;-;2255;47;49;16;35;-;-;-;-;63;56;13;751;287;44;-;20;41;-;2;-;-;2;-;2;-;-;13;17;37;10;-;18;4;-;-;-;-;-;-;-;-;-;-;-;2;30;14;385;4213
"351760 Guapiara";-;-;219;-;13;-;-;-;-;-;-;29;-;19;2;-;35;-;2;-;-;1;-;10;1;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;422
"351770 Guara";-;-;292;-;14;13;-;-;-;-;-;7;-;-;121;14;29;-;3;-;-;2;-;-;1;-;-;-;-;-;1;1;2;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;547
"351780 Guaracai";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;31;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;61
"351820 Guararapes";-;-;456;86;52;2;-;-;-;-;-;50;-;11;55;265;50;-;1;20;-;1;-;10;2;-;1;-;-;-;21;7;16;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;11;228;1349
"351830 Guararema";-;-;1311;-;26;1;-;-;-;-;-;41;12;1044;454;-;31;-;1;12;-;3;-;3;-;-;-;-;-;-;-;-;12;-;21;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;114;3089
"351840 Guaratingueta";-;4;12206;73;408;151;141;13;-;36;-;482;106;2122;2182;4687;227;33;95;162;-;10;108;23;12;-;3;-;-;12;53;48;27;1;65;12;16;1;10;29;9;-;-;-;-;-;-;176;52;-;1823;25618
"351860 Guariba";-;-;950;13;89;13;41;7;-;-;-;65;4;1139;794;161;56;6;-;4;-;-;-;12;1;-;1;-;-;-;8;6;16;-;18;3;-;-;-;-;-;-;-;-;-;-;-;2;1;-;299;3709
"351870 Guaruja";-;28;28488;408;1112;258;517;-;-;46;-;1577;220;236;9080;7564;364;6;68;207;-;18;1455;95;820;-;9;4;6;4;126;102;67;-;108;31;1;1;3;18;8;5;1;3;-;-;-;200;183;94;3289;56830
"351880 Guarulhos";-;645;41795;162;1076;553;730;1;-;40;-;3240;356;930;44654;7271;1348;14;401;327;-;47;145;347;125;-;22;50;-;85;201;258;143;19;265;22;14;2;14;-;32;-;-;-;-;-;-;317;600;330;6558;113139
"351907 Hortolandia";-;1723;10175;8;275;102;-;-;-;13;-;543;59;177;2008;199;160;9;62;75;-;18;-;82;-;-;-;1;-;-;50;86;5;-;97;4;1;-;5;-;6;-;-;-;-;-;-;204;131;-;408;16686
"351910 Iacanga";-;-;137;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172
"351930 Ibate";-;-;252;8;15;10;-;-;-;-;-;32;-;45;243;3;25;-;2;-;-;-;-;4;3;-;-;-;-;2;13;-;5;-;20;1;-;-;-;-;-;-;-;-;-;-;-;1;5;16;121;826
"351940 Ibira";-;-;184;-;26;-;-;-;-;-;-;3;-;-;280;-;32;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;658
"351960 Ibitinga";-;-;3594;53;254;87;140;-;-;2;-;194;19;35;1944;435;396;1;26;17;-;11;23;10;7;-;4;2;-;-;18;74;29;2;28;5;1;-;7;-;5;-;-;-;-;-;-;22;95;-;789;8329
"351970 Ibiuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;10;-;-;-;20;-;-;-;-;-;-;62;-;40;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;310
"351990 Iepe";-;-;530;-;11;-;-;-;-;-;-;5;8;27;123;38;45;2;1;4;-;2;-;-;10;-;-;-;-;-;-;-;4;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;1018
"352010 Igarapava";-;3;622;28;55;9;58;-;-;10;-;20;12;221;2068;-;166;3;-;6;-;2;-;1;3;-;-;-;-;-;30;26;-;-;12;1;-;-;1;-;-;-;-;-;-;-;-;-;7;13;378;3755
"352040 Ilhabela";-;1;188;-;1;117;231;-;-;23;-;-;-;-;20;1338;292;-;10;65;-;3;-;35;6;-;1;6;-;6;82;77;69;1;72;6;1;3;3;-;-;-;-;-;-;-;-;62;-;93;1665;4477
"352050 Indaiatuba";-;12;24459;536;1053;252;829;44;-;102;-;479;414;142;3813;4412;2377;8;179;328;-;30;76;87;105;4;29;7;51;32;178;123;123;6;71;33;4;1;7;-;-;-;-;-;-;-;-;204;319;-;2120;43049
"352070 Indiapora";-;-;71;2;8;-;-;-;-;-;-;-;-;-;62;-;14;-;1;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;206
