municipio;tipo;estadual;federal;municipal;particular;total
ARARAS;vigilancia;0;0;2;0;2
ARCO-IRIS;outros;0;0;1;0;1
ARCO-IRIS;ubs;0;0;1;0;1
AREALVA;clinica;0;0;0;1;1
AREALVA;hospital;0;0;0;1;1
AREALVA;outros;0;0;3;2;5
AREALVA;ubs;0;0;5;0;5
AREALVA;unidade_movel;0;0;1;0;1
AREIAS;outros;0;0;2;0;2
AREIAS;ubs;0;0;2;0;2
AREIOPOLIS;clinica;0;0;1;1;2
AREIOPOLIS;consultorio;0;0;0;5;5
AREIOPOLIS;diagnose_terapia;0;0;0;2;2
AREIOPOLIS;outros;0;0;2;0;2
AREIOPOLIS;ubs;0;0;3;0;3
AREIOPOLIS;unidade_movel;0;0;1;0;1
ARIRANHA;clinica;0;0;1;0;1
ARIRANHA;consultorio;0;0;0;6;6
ARIRANHA;diagnose_terapia;0;0;1;1;2
ARIRANHA;outros;0;0;1;0;1
ARIRANHA;pronto_atendimento;0;0;1;0;1
ARIRANHA;ubs;0;0;3;0;3
ARTUR NOGUEIRA;clinica;0;0;2;8;10
ARTUR NOGUEIRA;consultorio;0;0;0;62;62
ARTUR NOGUEIRA;diagnose_terapia;0;0;1;7;8
ARTUR NOGUEIRA;hospital;0;0;1;0;1
ARTUR NOGUEIRA;outros;0;0;4;4;8
ARTUR NOGUEIRA;ubs;0;0;13;4;17
ARTUR NOGUEIRA;saude_mental;0;0;1;0;1
ARTUR NOGUEIRA;unidade_movel;0;0;1;0;1
ARUJA;clinica;0;0;3;23;26
ARUJA;consultorio;0;0;0;39;39
ARUJA;diagnose_terapia;0;0;0;8;8
ARUJA;hospital;0;0;1;0;1
ARUJA;outros;0;0;2;2;4
ARUJA;pronto_atendimento;0;0;0;3;3
ARUJA;ubs;0;0;8;0;8
ARUJA;unidade_movel;0;0;1;0;1
ARUJA;vigilancia;0;0;1;0;1
ASPASIA;outros;0;0;1;0;1
ASPASIA;ubs;0;0;1;0;1
ASSIS;clinica;1;0;13;27;41
ASSIS;consultorio;0;0;0;425;425
ASSIS;diagnose_terapia;0;0;0;21;21
ASSIS;hospital;1;0;0;9;10
ASSIS;outros;3;0;10;9;22
ASSIS;pronto_atendimento;0;0;2;0;2
ASSIS;ubs;1;0;22;0;23
ASSIS;saude_mental;0;0;3;0;3
ASSIS;unidade_movel;0;0;2;0;2
ATIBAIA;clinica;1;0;5;62;68
ATIBAIA;consultorio;0;0;0;309;309
ATIBAIA;diagnose_terapia;1;0;3;46;50
ATIBAIA;hospital;0;0;0;6;6
ATIBAIA;outros;0;0;4;17;21
ATIBAIA;pronto_atendimento;0;0;1;0;1
ATIBAIA;ubs;0;0;18;0;18
ATIBAIA;saude_mental;0;0;3;0;3
ATIBAIA;unidade_movel;0;0;4;0;4
ATIBAIA;vigilancia;0;0;2;0;2
AURIFLAMA;clinica;0;0;1;1;2
AURIFLAMA;consultorio;0;0;0;19;19
AURIFLAMA;diagnose_terapia;0;0;0;3;3
AURIFLAMA;hospital;0;0;0;1;1
AURIFLAMA;outros;0;0;2;0;2
AURIFLAMA;ubs;0;0;5;0;5
AURIFLAMA;vigilancia;0;0;1;0;1
AVAI;outros;0;0;1;0;1
AVAI;ubs;0;0;3;0;3
AVANHANDAVA;clinica;0;0;1;1;2
AVANHANDAVA;consultorio;0;0;0;4;4
AVANHANDAVA;diagnose_terapia;0;0;0;1;1
AVANHANDAVA;outros;0;0;2;2;4
AVANHANDAVA;ubs;1;0;4;0;5
AVARE;clinica;1;0;6;9;16
AVARE;consultorio;0;0;1;254;255
AVARE;diagnose_terapia;0;0;0;19;19
AVARE;hospital;0;0;0;1;1
AVARE;outros;1;0;2;9;12
AVARE;pronto_atendimento;0;0;1;0;1
AVARE;ubs;3;0;18;0;21
AVARE;saude_mental;0;0;1;0;1
AVARE;unidade_movel;0;0;2;0;2
AVARE;vigilancia;0;0;2;0;2
BADY BASSITT;clinica;0;0;1;2;3
BADY BASSITT;consultorio;0;0;0;8;8
BADY BASSITT;diagnose_terapia;0;0;0;1;1
BADY BASSITT;outros;0;0;1;0;1
BADY BASSITT;pronto_atendimento;0;0;1;0;1
BADY BASSITT;ubs;0;0;3;0;3
BALBINOS;outros;0;0;1;0;1
BALBINOS;ubs;2;0;2;0;4
BALSAMO;consultorio;0;0;0;1;1
BALSAMO;diagnose_terapia;0;0;0;1;1
BALSAMO;outros;0;0;1;0;1
BALSAMO;ubs;0;0;5;0;5
BANANAL;clinica;0;0;2;1;3
BANANAL;consultorio;0;0;0;2;2
BANANAL;diagnose_terapia;0;0;0;1;1
BANANAL;outros;0;0;3;0;3
BANANAL;ubs;0;0;6;0;6
BANANAL;saude_mental;0;0;1;0;1
BANANAL;unidade_movel;0;0;1;0;1
BANANAL;vigilancia;0;0;1;0;1
BARAO DE ANTONINA;outros;0;0;2;0;2
BARAO DE ANTONINA;ubs;0;0;2;0;2
BARBOSA;outros;0;0;2;0;2
BARBOSA;ubs;0;0;1;0;1
BARIRI;clinica;0;0;3;4;7
BARIRI;consultorio;0;0;0;66;66
BARIRI;diagnose_terapia;0;0;1;23;24
BARIRI;hospital;0;0;0;1;1
BARIRI;outros;0;0;2;4;6
BARIRI;ubs;0;0;7;0;7
BARIRI;saude_mental;0;0;1;0;1
BARIRI;vigilancia;0;0;2;0;2
BARRA BONITA;clinica;0;0;1;6;7
BARRA BONITA;consultorio;0;0;0;78;78
BARRA BONITA;diagnose_terapia;0;0;1;11;12
BARRA BONITA;hospital;0;0;0;1;1
BARRA BONITA;outros;0;0;3;2;5
BARRA BONITA;ubs;0;0;8;0;8
BARRA BONITA;saude_mental;0;0;1;0;1
BARRA DO CHAPEU;outros;0;0;3;0;3
BARRA DO CHAPEU;pronto_atendimento;0;0;1;0;1
BARRA DO CHAPEU;ubs;0;0;3;0;3
BARRA DO TURVO;outros;0;0;1;0;1
BARRA DO TURVO;pronto_atendimento;0;0;1;0;1
BARRA DO TURVO;ubs;0;0;5;0;5
BARRA DO TURVO;unidade_movel;0;0;1;0;1
BARRETOS;clinica;2;0;6;34;42
BARRETOS;consultorio;0;0;1;242;243
BARRETOS;diagnose_terapia;0;0;1;11;12
BARRETOS;hospital;1;0;0;5;6
BARRETOS;outros;5;0;6;5;16
BARRETOS;pronto_atendimento;0;0;1;1;2
BARRETOS;ubs;0;0;18;0;18
BARRETOS;saude_mental;0;0;1;0;1
BARRETOS;unidade_movel;0;0;4;1;5
BARRETOS;vigilancia;0;0;1;0;1
BARRINHA;clinica;0;0;5;5;10
BARRINHA;consultorio;0;0;0;21;21
BARRINHA;diagnose_terapia;0;0;2;4;6
BARRINHA;outros;0;0;2;0;2
BARRINHA;pronto_atendimento;0;0;0;1;1
BARRINHA;ubs;0;0;7;1;8
BARRINHA;unidade_movel;0;0;1;0;1
BARRINHA;vigilancia;0;0;3;0;3
BARUERI;clinica;0;0;8;106;114
BARUERI;consultorio;0;0;6;514;520
BARUERI;diagnose_terapia;0;0;1;21;22
BARUERI;hospital;1;0;2;6;9
BARUERI;outros;0;0;8;18;26
BARUERI;pronto_atendimento;0;0;6;1;7
BARUERI;ubs;0;0;21;0;21
BARUERI;saude_mental;0;0;3;0;3
BARUERI;unidade_movel;0;0;0;1;1
BARUERI;vigilancia;0;0;2;0;2
BASTOS;clinica;0;0;4;8;12
BASTOS;consultorio;0;0;0;14;14
