municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
CONCHAL;-22,3375;-47,1729;0;0;0;1;0;0;1;2;19;0;2;560;6175;2370;5170;13645;0;340;13925;45;10;352;61;18;5;61;154;28491;179451758.01;0.496
CONCHAS;-23,0154;-48,0134;0;0;1;0;0;0;1;1;23;0;0;0;7681;898;2634;3747;0;14;17901;0;0;0;41;0;0;1;59;18138;95312170.9;0.675
CORDEIROPOLIS;-22,4778;-47,4519;0;0;0;0;0;0;3;7;30;1;1;0;9139;9301;151;4874;272;28;19375;0;0;0;0;0;0;0;0;25116;262278746.25;0.779
COROADOS;-21,3521;-50,2859;0;0;0;0;0;0;0;0;0;0;0;0;2143;479;1754;942;0;7;8913;0;0;0;0;0;0;0;0;6197;42936757.01;0.598
CORONEL MACEDO;-23,6261;-49,31;0;0;0;0;0;0;0;0;0;0;0;306;537;0;2218;1219;0;11;0;0;0;0;0;0;0;0;0;4591;44903792.73;0.216
CORUMBATAI;-22,2213;-47,6215;0;0;0;0;0;0;0;0;1;0;1;0;2453;0;906;655;0;18;4925;0;0;0;0;0;0;0;0;4072;44617830.54;0.698
COSMOPOLIS;-22,6419;-47,1926;0;0;0;1;0;0;4;14;38;0;0;117;37050;5742;5658;8539;1567;75;11183;3119;83;0;40;9;15;0;167;74662;300638673.02;0.319
COSMORAMA;-20,4755;-49,7827;0;0;0;0;0;0;1;0;1;0;0;0;3480;0;1113;4037;0;115;0;0;0;0;0;0;0;0;0;7289;58163695.81;0.207
COTIA;-23,6022;-46,919;1;0;0;4;0;0;8;36;187;4;5;32516;97082;50117;22172;57502;10749;199;175131;0;0;0;0;0;0;0;0;257882;1519537125.24;0.64
CRAVINHOS;-21,338;-47,7324;0;0;0;1;0;0;6;2;62;1;1;1223;11509;3240;5662;11074;0;0;18505;457;1;0;36;0;0;0;74;35858;230497878.51;0.633
CRISTAIS PAULISTA;-20,4036;-47,4209;0;0;0;0;0;0;1;0;6;0;0;0;5060;0;1440;2439;0;57;3568;0;0;0;0;0;0;0;0;8803;50613021.73;0.465
CRUZALIA;-22,7373;-50,7909;0;0;0;0;0;0;0;0;0;0;0;0;1039;0;911;0;0;1273;5214;0;0;0;0;0;0;0;0;2021;31594867.66;0.69
CRUZEIRO;-22,5728;-44,969;0;0;0;3;0;0;9;67;202;0;4;1271;57441;5344;4193;4693;1106;525;26223;9791;242;213;226;30;45;725;2910;82895;348234809.27;0.657
CUBATAO;-23,8911;-46,424;0;0;1;0;0;0;7;13;110;4;3;0;39276;9492;15936;10333;36426;106;89844;9675;283;75;207;48;40;176;2119;132521;1821345436.07;0.736
CUNHA;-23,0731;-44,9576;0;0;0;1;0;0;1;2;7;0;1;456;5143;311;10801;5005;0;293;11600;687;53;22;59;2;9;84;243;21373;110053177.56;0.508
DESCALVADO;-21,9002;-47,6181;0;0;0;1;0;0;3;5;106;2;0;708;19144;4557;4158;2824;0;218;24155;550;7;241;62;1;15;94;115;34097;192378008.27;0.812
DIADEMA;-23,6813;-46,6205;1;0;2;2;1;0;2;51;101;5;12;5597;165494;44270;37449;50356;87310;512;137140;34555;1263;80;581;29;41;180;2415;429550;1792355229.07;0.363
DIRCE REIS;-20,4642;-50,6073;0;0;0;0;0;0;0;0;0;0;0;0;145;176;1117;0;0;4;0;0;0;0;0;0;0;0;0;1805;28156638.48;0.281
DIVINOLANDIA;-21,6637;-46,7361;0;0;0;1;0;0;0;8;3;0;2;0;5914;791;3878;304;0;0;47;0;0;0;0;0;0;0;0;11027;73054337.77;0.321
DOBRADA;-21,5155;-48,3935;0;0;0;0;0;0;0;3;3;0;0;0;3861;441;2293;2068;0;0;1250;0;0;0;0;0;0;0;0;9088;39921959.38;0.262
DOIS CORREGOS;-22,3673;-48,3819;0;0;0;1;0;0;1;5;30;0;0;0;5078;2489;3519;12354;0;484;27720;387;53;574;73;5;5;0;508;27704;141117485.72;0.626
DOLCINOPOLIS;-20,124;-50,5149;0;0;0;0;0;0;0;0;0;0;0;0;253;0;1583;161;0;4;219;0;0;0;0;0;0;0;0;2108;25779353.06;0.304
DOURADO;-22,1044;-48,3178;0;0;1;0;0;0;0;3;7;1;0;0;4212;506;1143;2142;0;39;6391;0;0;0;0;0;0;0;0;8883;60903634.5;0.741
DRACENA;-21,4843;-51,535;0;0;0;1;1;0;1;20;216;2;0;623;24960;5007;7557;5673;0;299;32367;6875;240;59;148;1;31;3;1012;47287;217963417.7;0.807
