municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
LOURDES;-20,966;-50,2263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1635;192;0;0;8079;0;0;0;0;0;0;0;0;2311;27744251.99;0.649
LOUVEIRA;-23,0856;-46,9484;0;0;1;1;0;0;3;11;23;0;0;3741;15033;9714;2167;20494;246;658;30575;5480;227;0;95;16;17;201;510;51007;689155575.56;0.716
LUCELIA;-21,7182;-51,0215;0;0;0;1;0;0;0;1;27;0;0;0;7171;622;3008;6371;0;0;15531;714;1;0;28;0;0;0;109;22022;90926780.52;0.613
LUCIANOPOLIS;-22,4294;-49,522;0;0;0;0;0;0;0;0;0;0;0;0;550;0;1656;160;0;0;3699;0;0;0;0;0;0;0;0;2412;27759902.3;0.642
LUIS ANTONIO;-21,55;-47,7801;0;0;0;0;0;0;0;0;0;0;0;0;3806;0;3005;5296;0;0;11849;0;0;0;0;0;0;0;0;15628;126178670.04;0.605
LUIZIANIA;-21,6737;-50,3294;0;0;0;0;0;0;0;1;3;0;0;0;310;340;3022;903;0;3;5366;0;0;0;0;0;0;0;0;5918;36921096.74;0.616
LUPERCIO;-22,4146;-49,818;0;0;0;0;0;0;0;0;0;0;0;0;230;0;3370;159;0;2;0;0;0;0;0;0;0;0;0;4608;31267186.21;0.181
LUTECIA;-22,3384;-50,394;0;0;0;0;0;0;0;0;1;0;0;0;214;103;704;1407;0;0;1090;0;0;0;0;0;0;0;0;2623;35011807.46;0.482
MACATUBA;-22,5002;-48,7102;0;0;0;1;0;0;4;13;18;0;0;0;7856;2855;3109;2737;0;105;18287;557;35;1;48;0;3;0;0;17263;127275511.45;0.789
MACAUBAL;-20,8022;-49,9687;0;0;0;1;0;0;1;0;5;0;0;0;2214;321;2698;2068;0;42;2420;0;0;0;1;0;0;0;0;8174;49090294.7;0.418
MACEDONIA;-20,1444;-50,1973;0;0;0;0;0;0;0;0;2;0;0;0;1136;0;2212;579;0;6;912;0;0;0;0;0;0;0;0;3686;35180699.04;0.382
MAGDA;-20,6445;-50,2305;0;0;0;0;0;0;1;0;1;0;0;0;1154;187;1822;0;0;2;383;0;0;0;0;0;0;0;0;3086;37758368.18;0.413
MAIRINQUE;-23,5398;-47,185;0;0;0;0;0;0;3;12;40;1;1;160;28364;3046;6691;9135;492;0;12899;0;0;0;0;0;0;0;0;47723;236805225.56;0.407
MAIRIPORA;-23,3171;-46,5897;0;0;1;1;0;0;5;8;8;1;0;5040;36945;11048;12002;19550;3391;195;51480;0;0;1588;110;0;0;34;475;103645;519617024.61;0.492
MANDURI;-23,0056;-49,3202;0;0;0;0;0;0;0;0;0;0;0;0;5365;664;1303;2301;0;263;4767;0;0;0;0;0;0;0;0;9972;57072407.46;0.467
MARABA PAULISTA;-22,1068;-51,9617;0;0;0;0;0;0;0;0;0;0;0;0;97;0;3399;0;0;7;0;0;0;0;0;0;0;0;0;6039;40658912.45;0.204
MARACAI;-22,6149;-50,6713;0;0;0;1;0;0;0;2;3;0;0;0;6152;0;4441;1773;0;9117;12939;175;0;0;26;0;5;0;99;14069;93236570.46;0.633
MARAPOAMA;-21,2587;-49,13;0;0;0;0;0;0;1;0;0;0;0;0;1621;354;1007;250;0;14;5813;0;0;0;0;0;0;0;0;3097;36774558.75;0.724
MARIAPOLIS;-21,7959;-51,1824;0;0;0;0;0;0;0;0;1;0;0;154;694;0;2331;0;0;0;2872;0;0;0;0;0;0;0;0;4098;28575337.48;0.616
MARILIA;-22,2171;-49,9501;0;0;0;7;0;0;8;32;960;4;9;14526;126653;39960;25018;24966;2868;537;61428;21456;1206;91;3758;62;39;770;5844;242249;1347852849.78;0.629
MARINOPOLIS;-20,4389;-50,8254;0;0;0;0;0;0;0;0;0;0;0;0;135;0;1519;175;0;36;1444;0;0;0;0;0;0;0;0;2101;27558777.02;0.657
MARTINOPOLIS;-22,1462;-51,1709;0;0;0;1;0;0;0;4;19;0;0;0;5966;117;10594;6066;0;1;9766;1369;91;12;95;1;11;3;345;26791;131106923.81;0.433
MATAO;-21,6025;-48,364;0;0;0;1;0;0;6;32;205;1;4;1515;48005;5975;15063;7739;0;139;38433;0;0;0;0;0;0;0;0;84069;377840786.5;0.635
MAUA;-23,6677;-46,4613;0;0;1;3;0;0;6;34;247;6;18;0;202762;46409;26062;26029;114476;16207;189631;34326;1346;704;624;93;87;393;2492;481725;1549076671.25;0.434
MENDONCA;-21,1757;-49,5791;0;0;0;0;0;0;0;0;2;0;0;0;1579;1267;2640;546;0;18;4585;0;0;0;0;0;0;0;0;5638;55725342.57;0.645
MERIDIANO;-20,3579;-50,1811;0;0;0;0;0;0;1;0;2;0;0;0;2980;0;1426;0;0;9;278;0;0;0;0;0;0;0;0;3813;51081600.13;0.409
MESOPOLIS;-19,9684;-50,6326;0;0;0;0;0;0;0;0;1;0;0;0;141;0;677;1041;0;2;0;0;0;0;0;0;0;0;0;1903;26571168.38;0.26
MIGUELOPOLIS;-20,1796;-48,031;0;0;0;0;0;0;1;0;2;0;0;0;3585;1033;8024;6045;0;33;12032;1129;13;12;67;2;11;0;174;22480;141229506.57;0.509
MINEIROS DO TIETE;-22,412;-48,451;0;0;0;1;0;0;3;3;40;1;1;0;1393;422;2918;6314;0;0;8564;0;0;0;0;0;0;0;0;13023;55741552.42;0.721
MIRACATU;-24,2766;-47,4625;0;0;0;1;0;0;1;0;3;1;0;0;2336;0;10260;5248;0;134;22561;0;0;0;0;0;0;0;0;19511;116488485.65;0.589
MIRA ESTRELA;-19,9789;-50,139;0;0;0;0;0;0;1;0;1;0;0;0;728;416;1515;261;0;22;767;0;0;0;0;0;0;0;0;3125;39754053.73;0.488
MIRANDOPOLIS;-21,1313;-51,1035;0;0;1;0;0;0;1;2;46;1;0;0;12795;400;8853;1183;0;2;32764;0;0;0;0;0;0;0;0;29844;134787732.53;0.68
MIRANTE DO PARANAPANEMA;-22,2904;-51,9084;0;0;0;0;0;0;2;2;7;1;0;0;2421;0;11124;2030;0;46;10968;0;0;0;0;0;0;0;0;18415;120199516.04;0.588
MIRASSOL;-20,8169;-49,5206;0;0;0;2;0;0;5;15;115;1;1;4750;37600;8202;7693;4611;0;262;44057;749;57;0;79;7;21;1;0;60768;285446724.0;0.721
MIRASSOLANDIA;-20,6179;-49,4617;0;0;0;0;0;0;0;0;0;0;0;0;1559;595;683;1668;0;43;5280;0;0;0;0;0;0;0;0;4966;36386683.95;0.59
MOCOCA;-21,4647;-47,0024;0;0;0;1;0;0;4;101;131;2;1;984;39619;3622;14290;7990;0;0;56215;4584;292;139;229;20;59;16;1568;69072;289502043.38;0.792
MOGI DAS CRUZES;-23,5208;-46,1854;0;0;2;6;0;0;11;212;194;4;11;31990;225316;41553;45244;86611;17486;467;188498;19977;1103;2824;421;229;153;7;2275;455587;2379475027.98;0.508
MOGI GUACU;-22,3675;-46,9428;0;0;1;2;0;0;5;45;321;2;4;4883;100742;12251;21469;12180;0;0;70152;14260;533;9276;397;32;67;16;4036;154146;786711619.86;0.665
MOGI MIRIM;-22,4332;-46,9532;0;0;0;3;0;0;3;15;216;1;2;5230;53594;10585;12188;9532;0;227;63917;6621;171;3073;150;14;53;355;1389;94098;641627679.25;0.77
MOMBUCA;-22,9285;-47,559;0;0;0;0;0;0;0;0;0;0;0;0;1163;0;0;2460;0;32;3984;0;0;0;0;0;0;0;0;3523;33499795.54;0.589
MONCOES;-20,8509;-50,0975;0;0;0;0;0;0;0;0;1;0;0;0;299;0;1368;119;0;17;0;0;0;0;0;0;0;0;0;2274;28653937.72;0.294
MONGAGUA;-24,0809;-46,6265;0;0;1;0;0;0;3;9;6;2;4;150;27765;3069;15724;11761;0;120;49069;6;0;3;49;3;0;0;102;58567;373633147.9;0.631
MONTE ALEGRE DO SUL;-22,6817;-46,681;0;0;0;0;0;0;1;0;9;1;1;107;5245;640;1632;875;0;642;9274;0;0;0;0;0;0;0;0;8181;50452985.1;0.717
MONTE ALTO;-21,2655;-48,4971;0;0;0;2;0;0;6;54;163;2;3;200;29287;2907;10489;4130;0;429;56711;5508;106;3;100;1;26;1;831;51039;245794859.61;0.815
MONTE APRAZIVEL;-20,768;-49,7184;0;0;0;1;0;0;0;8;35;0;1;0;13941;1232;3689;3322;0;0;1953;0;0;0;0;0;0;0;0;25651;116163498.95;0.322
MONTE AZUL PAULISTA;-20,9065;-48,6387;0;0;0;2;0;0;0;6;36;1;0;606;8495;1093;5703;2050;0;2555;22095;566;9;0;76;1;20;1;184;18928;131357156.11;0.769
MONTE CASTELO;-21,2981;-51,5679;0;0;0;0;0;0;0;0;0;0;0;0;1151;0;2892;0;0;9;7320;0;0;0;0;0;0;0;0;4166;37777947.33;0.62
MONTEIRO LOBATO;-22,9544;-45,8407;0;0;0;0;0;0;0;1;2;1;0;0;1636;0;2401;0;0;9;3008;0;0;0;0;0;0;0;0;4739;36190298.69;0.695
MONTE MOR;-22,945;-47,3122;0;0;0;1;0;0;3;4;41;1;0;0;21500;6033;18740;17778;0;113;42652;560;7;38;23;10;32;1;0;61707;407361777.96;0.626
MORRO AGUDO;-20,7288;-48,0581;0;0;0;1;0;0;1;3;60;0;0;0;11537;2381;6129;7201;0;8230;25279;1291;71;20;88;4;17;1;302;33598;214649528.48;0.708
MORUNGABA;-22,8811;-46,7896;0;0;1;0;0;0;2;3;7;0;0;0;5183;2301;2921;2672;0;0;16236;42;0;0;17;0;0;0;18;13936;88382999.22;0.684
MOTUCA;-21,5103;-48,1538;0;0;0;0;0;0;0;0;1;0;0;0;1290;100;2263;0;0;1073;3730;0;0;0;0;0;0;0;0;4831;35964262.78;0.628
MURUTINGA DO SUL;-20,9908;-51,2774;0;0;0;0;0;0;0;1;1;0;0;0;2047;0;1246;419;0;18;24;0;0;0;0;0;0;0;0;4525;35405253.54;0.262
NANTES;-22,6156;-51,24;0;0;0;0;0;0;0;0;0;0;0;0;457;0;1659;401;0;10;0;0;0;0;0;0;0;0;0;3215;36274256.41;0.251
NARANDIBA;-22,4057;-51,5274;0;0;0;0;0;0;1;0;0;0;0;0;2184;190;1336;1864;0;9;2049;0;0;0;0;0;0;0;0;4950;61003715.68;0.507
NATIVIDADE DA SERRA;-23,3707;-45,4468;0;0;0;0;0;0;0;0;0;0;1;0;910;0;3390;2507;0;8;708;0;0;0;0;0;0;0;0;6624;46245440.67;0.228
NAZARE PAULISTA;-23,1747;-46,3983;0;0;1;0;0;0;0;3;1;0;1;0;2258;1690;8481;4790;0;884;6129;259;32;293;29;2;0;0;112;18866;97298407.13;0.387
NEVES PAULISTA;-20,843;-49,6358;0;0;1;0;0;0;0;0;6;0;1;0;6590;0;2949;0;0;41;4696;2;0;0;3;0;0;0;8;8917;53786444.85;0.609
NHANDEARA;-20,6945;-50,0436;0;0;0;2;0;0;0;4;28;0;2;0;5561;564;3067;393;0;38;631;0;0;0;0;0;0;0;0;11575;68063013.46;0.449
NIPOA;-20,9114;-49,7833;0;0;0;0;0;0;0;0;3;0;0;0;1081;0;3030;637;0;1117;0;0;0;0;0;0;0;0;0;5381;31421856.78;0.266
NOVA ALIANCA;-21,0156;-49,4986;0;0;0;0;0;0;1;0;1;0;0;0;4050;879;1588;0;0;53;4292;0;0;0;0;0;0;0;0;7161;47980876.31;0.625
NOVA CAMPINA;-24,1224;-48,9022;0;0;0;0;0;0;0;0;0;0;1;498;0;1020;1577;5205;0;45;5181;0;0;0;0;0;0;0;0;9962;56171751.32;0.441
NOVA CANAA PAULISTA;-20,3836;-50,9483;0;0;0;0;0;0;0;0;0;0;0;0;524;0;1345;125;0;12;0;0;0;0;0;0;0;0;0;1824;28838620.5;0.26
NOVA CASTILHO;-20,7615;-50,3477;0;0;0;0;0;0;0;0;0;0;0;0;546;0;350;0;0;0;6;0;0;0;0;0;0;0;0;1290;28908916.74;0.313
NOVA EUROPA;-21,7765;-48,5705;0;0;1;0;0;0;0;2;14;1;0;0;3224;0;2705;3227;0;14;4751;149;3;4;15;0;2;0;30;11519;74543368.13;0.568
NOVA GRANADA;-20,5321;-49,3123;0;0;1;0;0;0;0;9;12;1;1;0;7656;405;8139;2711;0;0;17111;0;0;0;0;0;0;0;0;21871;91011675.76;0.635
NOVA GUATAPORANGA;-21,332;-51,6447;0;0;0;0;0;0;1;0;0;0;0;0;221;0;1313;539;0;4;2129;0;0;0;0;0;0;0;0;2333;26656521.19;0.712
NOVA INDEPENDENCIA;-21,1026;-51,4905;0;0;0;0;0;0;0;0;2;0;0;0;804;922;1355;799;0;24;0;0;0;0;0;0;0;0;0;4135;51550159.55;0.285
NOVAIS;-20,9893;-48,9141;0;0;0;0;0;0;1;0;0;0;0;0;1407;0;1482;1477;0;10;4899;0;0;0;0;0;0;0;0;6057;35000463.18;0.604
NOVA LUZITANIA;-20,856;-50,2617;0;0;0;0;0;0;0;0;1;0;0;0;737;0;1657;250;0;7;2575;0;0;0;0;0;0;0;0;4217;32755567.28;0.615
NOVA ODESSA;-22,7832;-47,2941;0;0;1;0;0;0;3;5;66;1;0;1776;41442;16118;1331;735;0;0;43213;24;0;1897;47;12;19;18;527;61716;327265501.36;0.677
NOVO HORIZONTE;-21,4651;-49,2234;0;0;0;2;0;0;2;24;80;0;1;291;18411;3121;9350;6519;0;779;45432;3288;129;885;91;1;29;41;386;41765;221346748.58;0.748
NUPORANGA;-20,7296;-47,7429;0;0;0;0;0;0;0;0;8;1;0;0;5866;310;958;0;0;93;7111;0;0;0;0;0;0;0;0;7522;64365000.11;0.743
OCAUCU;-22,438;-49,922;0;0;0;0;0;0;0;0;0;0;0;0;1443;0;605;2221;0;122;0;0;0;0;0;0;0;0;0;4294;37256114.78;0.199
OLEO;-22,9435;-49,3419;0;0;0;0;0;0;0;0;0;0;0;0;1188;0;141;953;0;64;122;0;0;0;0;0;0;0;0;2447;28030905.32;0.286
OLIMPIA;-20,7366;-48,9106;0;0;0;2;0;0;4;25;126;3;1;1493;30147;4337;5906;12321;0;771;41146;2194;110;0;105;7;25;105;626;55477;393123405.89;0.806
ONDA VERDE;-20,6042;-49,2929;0;0;0;0;0;0;1;0;1;0;0;0;1067;783;2916;0;0;34;6772;0;0;0;0;0;0;0;0;4462;47924997.49;0.69
ORIENTE;-22,1549;-50,0971;0;0;0;0;0;0;0;0;7;1;0;0;3332;0;1724;666;0;1020;806;0;0;0;0;0;0;0;0;6569;38852678.97;0.416
ORINDIUVA;-20,1861;-49,3464;0;0;0;0;0;0;1;0;8;0;1;0;2998;917;1052;981;0;131;905;0;0;0;0;0;0;0;0;7318;64521670.67;0.424
ORLANDIA;-20,7169;-47,8852;0;0;1;0;0;0;4;48;151;1;2;0;21881;2666;8501;4965;0;0;17065;1400;55;21;122;3;21;1;326;44682;288246930.19;0.699
OSASCO;-23,5324;-46,7916;0;0;2;7;0;0;1;414;644;13;12;41382;340654;127824;46895;70637;95953;732;461787;29420;2087;10135;797;224;168;209;4113;701428;4475273230.12;0.695
OSCAR BRESSANE;-22,3149;-50,2811;0;0;0;0;0;0;0;0;0;0;1;0;0;0;516;1534;0;0;4407;0;0;0;0;0;0;0;0;2603;14432190.43;0.571
OSVALDO CRUZ;-21,7968;-50,8793;0;0;0;1;0;0;3;20;49;0;1;216;14734;2917;8239;3218;0;141;13485;1611;89;0;84;4;23;1;755;33118;132736372.06;0.578
OURINHOS;-22,9797;-49,8697;0;0;1;5;0;0;7;16;388;1;4;2924;50447;10338;17891;21243;0;357;41299;9576;811;1687;200;47;83;105;1845;115139;675049538.4;0.665
OUROESTE;-20,0061;-50,3768;0;0;1;0;0;0;1;0;25;0;0;0;3888;882;3374;2102;0;44;12420;138;4;0;18;0;5;0;78;10712;119634216.47;0.83
OURO VERDE;-21,4872;-51,7024;0;0;0;0;0;0;0;0;1;0;0;0;465;753;4144;2184;0;0;0;0;0;0;0;0;0;0;0;8676;45339427.81;0.143
PACAEMBU;-21,5627;-51,2654;0;0;0;0;0;0;0;0;18;1;2;0;5848;0;3231;227;0;103;12514;0;0;0;0;0;0;0;0;14326;66168547.84;0.679
PALESTINA;-20,39;-49,4309;0;0;0;0;0;0;1;1;10;0;1;0;3174;1179;4510;2358;0;32;15652;0;0;0;0;0;0;0;0;13285;79162086.21;0.643
PALMARES PAULISTA;-21,0854;-48,8037;0;0;0;0;0;0;1;2;9;0;0;0;2685;505;700;5653;0;56;15635;0;0;0;0;0;0;0;0;13691;50422065.79;0.589
PALMEIRA D'OESTE;-20,4148;-50,7632;0;0;0;0;0;0;0;0;0;0;0;0;2826;605;3451;1848;0;90;4361;189;16;0;27;0;0;0;0;9173;50694739.9;0.442
PALMITAL;-22,7858;-50,218;0;0;0;1;0;0;2;3;31;0;1;0;11861;546;4802;1671;0;258;21972;936;48;241;53;3;9;1;245;22322;139338443.27;0.721
PANORAMA;-21,354;-51,8562;0;0;0;0;0;0;0;1;6;1;0;0;3262;1376;4903;5328;0;41;1081;570;6;0;29;0;0;0;48;15944;76467459.14;0.219
PARAGUACU PAULISTA;-22,4114;-50,5732;0;0;0;1;0;0;3;6;92;0;1;0;18509;2311;9688;8756;0;1;11171;5010;171;28;136;2;19;120;805;46180;275636281.83;0.509
PARAIBUNA;-23,3872;-45,6639;0;0;0;0;0;0;0;0;6;1;2;0;5394;358;7453;3723;0;32;7439;0;0;0;0;0;0;0;0;18302;120493308.16;0.457
PARAISO;-21,0159;-48,7761;0;0;0;0;0;0;0;0;9;0;0;0;3332;0;2335;432;0;45;3423;0;0;0;0;0;0;0;0;6536;53705013.69;0.621
PARANAPANEMA;-23,3862;-48,7214;0;0;1;0;0;0;0;1;26;0;1;523;4719;3271;4172;6067;0;38;11675;1324;35;0;48;5;13;1;18;20588;156132256.48;0.645
PARANAPUA;-20,1048;-50,5886;0;0;0;0;0;0;0;0;0;0;0;0;782;779;1330;1076;0;0;0;0;0;0;0;0;0;0;0;4112;32574247.66;0.192
PARAPUA;-21,7792;-50,7949;0;0;0;1;0;0;0;0;4;0;0;0;2633;0;4830;2409;0;0;0;327;20;0;36;0;0;0;110;10934;64131641.59;0.208
PARDINHO;-23,0841;-48,3679;0;0;0;0;0;0;0;0;1;0;1;333;1703;702;2184;2024;0;30;7340;0;0;0;0;0;0;0;0;6579;57395003.17;0.624
PARIQUERA-ACU;-24,7147;-47,8742;0;0;1;0;0;0;2;1;11;0;1;766;3520;1135;10632;2365;0;233;848;0;0;0;0;0;0;0;0;19797;107075126.83;0.261
PARISI;-20,3034;-50,0163;0;0;0;0;0;0;0;0;0;0;0;0;392;0;1777;721;0;47;10647;0;0;0;0;0;0;0;0;2177;30777538.3;0.613
PATROCINIO PAULISTA;-20,6384;-47,2801;0;0;0;1;0;0;1;1;4;0;1;0;4607;2114;4121;3445;0;0;16100;0;0;0;0;0;0;0;0;14941;92313507.64;0.623
PAULICEIA;-21,3153;-51,8321;0;0;0;0;0;0;0;0;0;0;0;0;1307;638;640;4893;0;150;0;0;0;0;0;0;0;0;0;7540;56933868.58;0.165
PAULINIA;-22,7542;-47,1488;0;0;1;0;0;0;7;70;127;2;3;22530;59852;18223;5156;3880;0;0;1674;14848;195;61;362;28;35;4;1260;114508;2440620224.93;0.515
PAULISTANIA;-22,5768;-49,4008;0;0;0;0;0;0;0;0;0;0;0;0;481;0;829;678;0;7;94;0;0;0;0;0;0;0;0;1835;32362505.22;0.271
PAULO DE FARIA;-20,0296;-49,4;0;0;0;1;0;0;0;1;2;0;1;0;1088;0;4206;1786;0;10;11090;30;5;0;3;0;0;0;0;8973;66949175.63;0.649
PEDERNEIRAS;-22,3511;-48,7781;0;0;0;1;0;0;5;1;68;0;1;0;23956;3237;9544;7128;152;134;42214;2116;168;25;56;5;24;0;415;47523;246392985.42;0.673
PEDRA BELA;-22,7902;-46,4455;0;0;0;0;0;0;0;0;0;0;1;0;880;518;5128;0;0;21;2873;0;0;0;0;0;0;0;0;6127;40334265.07;0.45
PEDRANOPOLIS;-20,2474;-50,1129;0;0;0;0;0;0;0;0;1;0;0;0;1667;0;964;0;0;43;0;0;0;0;0;0;0;0;0;2468;33715296.05;0.318
PEDREGULHO;-20,2535;-47,4775;0;0;1;0;0;0;3;0;10;0;0;0;4417;93;7695;3243;0;83;0;0;0;0;0;0;0;0;0;16876;102426377.64;0.255
PEDREIRA;-22,7413;-46,8948;0;0;2;0;0;0;2;9;46;0;0;324;18865;6420;7066;9943;0;103;36131;1471;60;0;40;0;0;0;351;48992;248272599.52;0.653
PEDRINHAS PAULISTA;-22,8174;-50,7933;0;0;0;0;0;0;0;0;1;0;0;0;1987;0;0;814;0;95;6899;0;0;0;0;0;0;0;0;3109;37675942.66;0.693
PEDRO DE TOLEDO;-24,2764;-47,2354;0;0;0;0;0;0;1;0;1;0;1;0;1674;0;6891;2312;0;491;4641;0;0;0;0;0;0;0;0;11507;65286160.87;0.418
PENAPOLIS;-21,4148;-50,0769;0;0;2;0;0;0;3;9;187;3;0;852;32771;6804;13223;7375;0;3110;77766;3491;125;0;1264;14;68;2;1430;64098;329017423.32;0.775
PEREIRA BARRETO;-20,6368;-51,1123;0;0;1;0;0;0;2;7;66;0;0;0;9026;1745;10249;2568;0;15;8715;436;32;0;42;1;6;1;122;25685;158952096.5;0.588
PEREIRAS;-23,0804;-47,972;0;0;0;0;0;0;1;0;5;0;0;0;2938;0;3593;1920;0;14;3404;0;0;0;0;0;0;0;0;8875;46527317.99;0.421
PERUIBE;-24,312;-47,0012;0;0;1;0;0;0;5;25;33;1;4;349;31084;2699;14503;17843;277;2132;51623;47;0;125;12;35;23;8;154;69697;442085868.22;0.666
PIACATU;-21,5921;-50,6003;0;0;0;0;0;0;1;0;5;0;0;0;719;0;3397;1234;0;0;5019;0;0;0;0;0;0;0;0;6093;40786555.15;0.646
PIEDADE;-23,7139;-47,4256;0;0;1;0;0;0;2;14;45;0;1;0;19924;1448;21168;9646;0;1677;16467;1542;34;0;104;9;36;1;410;55731;215069771.63;0.403
PILAR DO SUL;-23,8077;-47,7222;0;0;1;0;0;0;0;3;12;0;1;0;12117;198;8365;6830;0;242;23908;288;18;0;37;8;9;7;148;29612;134531619.99;0.584
PINDAMONHANGABA;-22,9246;-45,4613;0;0;2;0;0;0;6;46;371;3;3;5941;89135;23960;13685;31057;148;252;87915;10599;286;0;203;55;101;400;2239;171885;891321707.05;0.667
PINDORAMA;-21,1853;-48,9086;0;0;0;0;0;0;0;0;8;0;1;0;7973;832;4934;487;0;54;8166;0;0;0;0;0;0;0;0;17378;89941365.8;0.504
PINHALZINHO;-22,7811;-46,5897;0;0;0;0;0;0;0;6;7;1;1;0;6995;1720;2899;2935;0;37;11369;0;0;0;0;0;0;0;0;15564;66087253.56;0.619
PIQUEROBI;-21,8747;-51,7282;0;0;0;0;0;0;0;0;0;0;0;0;660;0;2138;320;0;22;2793;0;0;0;0;0;0;0;0;3706;36575376.19;0.632
PIQUETE;-22,6069;-45,1869;0;0;0;0;0;0;1;0;4;1;1;0;9191;398;2589;0;0;0;4110;0;0;0;0;0;0;0;0;13495;68349217.8;0.433
PIRACAIA;-23,0525;-46,3594;0;0;1;0;0;0;0;18;8;0;2;0;10505;1426;8285;4381;0;151;9936;100;18;2;30;0;2;0;138;27617;142813516.98;0.477
PIRACICABA;-22,7338;-47,6476;0;0;8;0;0;0;1;17;909;5;8;28197;222635;81278;28080;47140;9633;511;202436;27667;1853;0;502;135;155;628;5424;410275;2578711769.36;0.664
PIRAJU;-23,1981;-49,3803;0;0;1;0;0;0;2;16;49;0;0;0;13731;3916;8085;3148;0;50;11849;1238;49;0;99;7;32;0;279;29930;147379126.98;0.579
PIRAJUI;-21,999;-49,4608;0;0;2;0;0;0;5;0;44;0;1;0;9070;1309;3253;5011;0;110;12917;181;19;975;46;1;0;1;67;25939;114381456.65;0.633
PIRANGI;-21,0886;-48,6607;0;0;1;0;0;0;2;1;15;1;0;0;5201;1248;3782;521;0;48;7339;113;4;0;9;0;2;0;52;11524;61799212.37;0.732
PIRAPORA DO BOM JESUS;-23,3965;-46,9991;0;0;0;0;0;0;1;1;3;1;2;0;2085;1234;3101;8716;2972;182;8623;0;0;0;0;0;0;0;0;19453;110190706.11;0.406
PIRAPOZINHO;-22,2711;-51,4976;0;0;0;0;0;0;1;6;13;1;0;0;16514;1412;5245;1966;0;167;14346;0;0;0;0;0;0;0;0;27974;124385717.13;0.541
PIRASSUNUNGA;-21,996;-47,4257;0;0;5;0;0;0;4;17;259;3;6;2302;42100;7377;9271;10478;0;0;54936;2694;109;0;80;24;23;0;731;77330;377180490.79;0.815
PIRATININGA;-22,4142;-49,1339;0;0;1;0;0;0;1;1;2;1;1;2122;10154;0;2273;0;0;62;9759;5;0;0;10;0;0;0;60;13890;85786313.67;0.692
PITANGUEIRAS;-21,0132;-48,221;0;0;2;0;0;0;2;10;42;1;2;0;13050;2213;6499;11720;0;285;28194;579;85;62;33;3;23;1;165;40430;211419819.28;0.677
PLANALTO;-21,0342;-49,933;0;0;0;0;0;0;0;0;0;0;1;0;367;0;2700;1319;0;22;132;0;0;0;0;0;0;0;0;5370;50383687.37;0.249
PLATINA;-22,6371;-50,2104;0;0;0;0;0;0;0;0;0;0;0;0;285;0;1774;826;0;1277;4203;0;0;0;0;0;0;0;0;3606;38685426.28;0.632
POA;-23,5333;-46,3473;0;0;0;0;0;0;4;17;42;1;0;0;58700;15566;12344;14713;2003;211;77669;0;0;0;0;0;0;0;0;119221;441832744.98;0.587
POLONI;-20,7829;-49,8258;0;0;0;0;0;0;1;1;5;0;0;0;1900;601;2558;472;0;2;5755;0;0;0;0;0;0;0;0;6166;39333638.65;0.676
POMPEIA;-22,107;-50,176;0;0;1;0;0;0;7;5;100;1;1;160;13657;2132;1195;2740;0;213;9480;330;35;0;15;0;0;0;67;22326;163176082.11;0.747
PONGAI;-21,7396;-49,3604;0;0;0;0;0;0;0;0;0;0;0;0;1859;0;1520;0;0;8;0;0;0;0;0;0;0;0;0;3385;32193479.69;0.243
PONTAL;-21,0216;-48,0423;0;0;1;0;0;0;2;5;48;1;1;0;10490;3204;5299;17652;0;48;11735;538;28;320;22;2;20;0;10;51717;202393481.28;0.351
PONTALINDA;-20,4396;-50,5258;0;0;0;0;0;0;0;0;0;0;0;0;260;0;1942;1779;0;3;0;0;0;0;0;0;0;0;0;4719;32414645.48;0.163
PONTES GESTAL;-20,1727;-49,7064;0;0;0;0;0;0;0;0;1;0;0;0;495;0;0;1647;0;0;1233;0;0;0;0;0;0;0;0;2576;45206528.81;0.537
POPULINA;-19,9453;-50,538;0;0;1;0;0;0;0;0;3;0;0;0;701;0;3276;0;0;82;3167;28;0;0;4;0;0;0;0;4136;40790214.67;0.754
PORANGABA;-23,1761;-48,1195;0;0;0;0;0;0;1;2;6;1;0;174;4706;662;2899;1763;0;24;3159;0;0;0;0;0;0;0;0;10205;57947987.36;0.444
PORTO FELIZ;-23,2093;-47,5251;0;0;1;0;0;0;1;16;64;1;0;1242;27962;7613;8464;8643;0;141;66130;3561;161;0;113;7;20;226;407;53698;459466976.55;0.736
