municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em vigilancia epidemiologica e ambiental;diagnostico em laboratorio clinico;coleta de material;tratamentos clinicos (outras especialidades);diagnostico por ultrasonografia;diagnostico por radiologia;fisioterapia;tratamentos odontologicos;diagnostico por teste rapido;terapias especializadas;diagnostico por tomografia;diagnostico por ressonancia magnetica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;diagnostico por endoscopia;metodos diagnosticos em especialidades;diagnostico por anatomia patologica e citopatologia;bucomaxilofacial;diagnostico por radiologia intervencionista;anestesiologia;hemoterapia;diagnostico e procedimentos especiais em hemoterapia;diagnostico por medicina nuclear in vivo;tratamento em oncologia;tratamento em nefrologia;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;autorizacao / regulacao;acoes coletivas / individuais em saude;acoes relacionadas ao estabelecimento;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;cirurgia do aparelho circulatorio;cirurgia do sistema nervoso central e periferico;parto e nascimento;medicamentos de ambito hospitalar e urgencia;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia obstetrica;cirurgia toracica;cirurgia em oncologia;acoes relacionadas ao atendimento;cirurgia do aparelho geniturinario;cirurgia reparadora;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia de mama;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acompanhamento e intercorrencias no pre e pos-transplante;cirurgia do aparelho da visao;cirurgia de glandulas endocrinas;cirurgia em nefrologia;outras cirurgias;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;avaliacao de morte encefalica;populacao;receita_anual;ids;categoria;cluster
ALTAIR;-20,5242;-49,0571;0;0;0;0;0;0;1;0;1;0;1;530;527;0;1605;642;0;0;4284;0;0;212;0;0;10;583;257;580;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;20;0;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4211;37448931.16;0.719;Estruturado;0
ALTINOPOLIS;-21,0214;-47,3712;0;0;0;1;0;0;3;6;27;0;1;0;4599;0;8448;3676;0;151;25730;0;9820;905;0;118;852;632;638;1176;0;0;0;52;0;183;0;64;0;0;0;0;0;0;0;0;11;8600;5369;0;13;0;0;0;4;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16221;110758436.62;0.751;Estruturado;0
ALTO ALEGRE;-21,5811;-50,168;0;0;1;0;0;0;1;0;2;0;0;0;844;410;1304;1096;0;131;1419;0;3654;0;0;0;1126;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4078;38234150.79;0.795;Estruturado;0
ALUMINIO;-23,5306;-47,2546;0;0;0;0;0;0;1;6;5;1;0;199;12790;1681;2186;0;0;865;5402;0;6893;0;35;0;684;0;0;280;0;0;0;21;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18903;140303772.35;0.546;Em risco;0
ALVARES FLORENCE;-20,3203;-49,9141;0;0;0;0;0;0;1;0;1;0;0;0;1969;0;1627;301;0;51;195;0;0;18;0;0;0;766;0;0;0;0;0;91;0;29;0;0;0;0;0;0;0;0;0;0;0;5090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3616;36436673.99;0.516;Em risco;0
ALVARES MACHADO;-22,0764;-51,4722;0;0;0;1;0;0;2;3;5;0;0;870;10397;1248;5435;8989;0;77;8715;0;500;0;1;0;108;1559;648;0;0;0;0;13;0;56;0;110;0;0;0;0;0;0;0;0;16;0;3899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25078;117339917.67;0.346;Crítico;3
ALVARO DE CARVALHO;-22,0841;-49,719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;1307;0;0;1564;0;0;183;0;0;0;345;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5320;34876537.62;0.307;Crítico;3
ALVINLANDIA;-22,4435;-49,7623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2539;228;0;11;923;0;0;78;0;0;0;24;53;22;0;0;0;0;0;17;0;40;0;0;0;0;0;0;0;0;6;0;544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3251;27864581.03;0.351;Crítico;3
AMERICANA;-22,7374;-47,3331;0;0;1;5;0;0;4;46;968;3;1;16824;172302;30053;6753;9557;481;632;75861;0;108651;6701;215;2378;6840;6996;2571;1948;937;414;171;364;319;2892;387;211;0;0;23;42;37;0;953;0;68;0;6144;0;9;0;2;49;29;43;62;80;7;0;2229;45;0;2;2;43;0;0;0;4;11;0;0;0;0;0;244370;1250310717.77;0.734;Estruturado;1
AMERICO BRASILIENSE;-21,7288;-48,1147;2;0;0;0;0;0;2;3;11;1;2;0;7022;2112;14758;8868;0;108;23103;0;3700;4132;0;392;350;316;465;2410;0;0;0;15;0;200;0;103;0;0;0;0;0;0;0;0;25;0;118;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41545;170812707.64;0.431;Em risco;3
AMERICO DE CAMPOS;-20,2985;-49,7359;0;0;0;0;0;0;1;1;3;0;0;0;3750;0;623;1495;0;70;238;0;1813;0;0;0;0;28;1;14;0;0;0;0;0;58;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5993;43060157.29;0.391;Crítico;3
AMPARO;-22,7088;-46,772;0;0;0;3;1;0;6;18;223;2;2;1508;40931;8588;4105;10970;359;8154;19156;0;60972;28;5;100;1076;2718;938;71;158;290;0;84;29;2107;0;4;0;1;0;0;0;0;1399;0;194;0;160;0;4;0;0;7;3;24;28;47;4;0;1098;6;0;1;0;35;0;0;0;0;3;0;0;0;0;0;73145;484412905.75;0.835;Estruturado;0
ANALANDIA;-22,1289;-47,6619;0;0;0;0;0;0;0;0;3;0;0;0;3885;0;236;352;0;20;5224;0;1819;33;0;0;253;75;367;844;0;0;0;10;0;0;0;24;0;0;0;0;0;0;0;0;0;0;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5115;48193368.16;0.697;Estruturado;0
ANDRADINA;-20,8948;-51,3786;0;0;0;2;1;0;6;11;258;2;22;609;31310;3364;11671;10572;0;223;38821;0;501;1377;56;10;1035;1454;243;2194;0;0;0;64;0;330;0;23;0;0;0;0;0;0;0;0;0;0;3496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57245;282771653.95;0.662;Moderado;0
ANGATUBA;-23,4917;-48,4139;0;0;0;0;0;0;0;0;0;0;0;0;10341;1885;7650;3661;0;46;15198;0;14425;2;0;95;1066;724;0;307;0;0;0;60;35;146;0;0;0;0;0;0;0;0;0;0;0;0;557;0;6;0;0;7;0;8;0;11;0;0;737;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25724;142864479.21;0.559;Em risco;0
ANHEMBI;-22,793;-48,1336;0;0;0;0;0;0;0;0;0;0;0;0;709;144;1335;2852;0;18;8472;0;0;435;0;26;3;793;275;750;0;0;0;62;0;63;0;38;0;0;0;0;0;0;0;0;0;0;2542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6911;58027521.76;0.602;Moderado;0
ANHUMAS;-22,2934;-51,3895;0;0;0;0;0;0;0;0;0;0;0;0;1851;0;1465;306;0;254;9;0;1556;0;0;0;0;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4390;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4172;37103371.19;0.516;Em risco;0
APARECIDA;-22,8495;-45,2325;0;0;0;0;0;0;0;0;0;0;0;0;18165;1005;8566;4222;0;0;17123;0;3621;0;17;10;1474;271;320;0;0;0;0;127;0;265;0;36;0;10;0;0;0;0;0;0;28;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36211;192157021.86;0.37;Crítico;3
APARECIDA D'OESTE;-20,4487;-50,8835;0;0;0;0;0;0;0;0;0;0;0;0;455;0;2572;899;0;33;4355;0;0;169;0;0;23;341;273;212;0;0;0;32;0;35;0;40;0;0;0;0;0;0;0;0;0;3600;4437;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4122;38318237.91;0.602;Moderado;0
APIAI;-24,5108;-48,8443;0;0;0;1;0;0;5;0;26;0;1;0;4816;2674;8552;7769;0;42;6228;0;10250;0;30;0;1084;385;257;131;0;0;0;58;0;316;0;31;0;0;0;0;0;0;0;0;0;0;33;0;1;0;1;9;16;7;4;12;0;0;393;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24081;125819289.35;0.472;Em risco;3
ARACARIGUAMA;-23,4366;-47,0608;0;0;0;0;0;0;2;2;11;1;2;81;4149;4163;2719;9923;0;68;62464;4;20225;2830;0;74;2788;1158;0;2615;0;0;0;40;0;740;0;0;0;0;0;0;0;0;0;0;0;0;2930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23343;205066287.8;0.674;Moderado;0
ARACATUBA;-21,2076;-50,4401;0;0;0;4;5;0;7;52;497;2;6;14191;102317;29932;17871;34305;0;1258;72440;0;69012;500;55;49;8304;356;3099;1975;0;117;117;209;3;3922;2229;694;0;0;0;0;171;0;0;0;3085;143610;4761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199210;904958913.44;0.662;Moderado;1
ARACOIABA DA SERRA;-23,5029;-47,6166;0;0;0;8;0;0;2;5;9;1;0;2179;18798;3030;6176;1404;0;85;21541;0;14059;0;38;286;995;918;4;723;0;0;0;36;0;65;0;4;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35389;181891652.14;0.617;Moderado;0
ARAMINA;-20,0882;-47,7873;0;0;0;0;0;0;0;0;6;0;0;0;3302;0;1703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5689;40446647.02;0.331;Crítico;3
ARANDU;-23,1386;-49,0487;0;0;1;0;0;0;0;0;2;0;0;0;700;941;3174;1632;0;35;1434;0;0;114;0;0;0;0;13;84;0;0;0;6;0;0;0;23;0;0;0;0;0;0;0;0;0;0;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6373;64342929.79;0.392;Crítico;3
ARAPEI;-22,6717;-44,4441;0;0;0;0;0;0;0;0;0;0;0;0;245;0;2005;0;0;6;2991;0;0;68;0;0;0;218;187;98;0;0;0;0;0;48;0;5;0;0;0;0;0;0;0;0;22;24060;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2452;41153493.43;0.665;Moderado;0
ARARAQUARA;-21,7845;-48,178;0;0;2;7;1;0;12;83;725;4;16;16029;128749;40454;19914;33884;0;2135;144218;0;75566;2115;761;1484;6430;9293;2588;3161;30;400;267;620;264;16121;3384;383;0;1;61;0;137;869;2965;0;604;0;14297;0;14;101;11;50;160;111;103;71;37;63;3225;47;0;19;2;790;0;30;0;0;14;4;6;0;5;4;240542;1347668243.75;0.777;Estruturado;1
ARARAS;-22,3572;-47,3842;0;0;0;4;0;0;3;32;258;1;5;5860;69435;14998;24464;13974;0;404;76183;0;44354;1971;31;600;5442;0;2879;1958;5;703;0;332;80;1367;42;434;0;0;45;35;1;360;1238;0;0;0;18852;0;3;30;4;30;8;95;52;56;20;8;1895;44;1;14;1;221;0;0;0;3;9;0;0;0;0;0;136739;892991479.22;0.702;Estruturado;0
ARCO-IRIS;-21,7728;-50,466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1426;0;0;6;874;0;0;71;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1755;27342465.06;0.513;Em risco;0
AREALVA;-22,031;-48,9135;0;0;0;1;0;0;0;1;0;0;1;0;4578;0;1916;1331;0;40;9711;0;40;181;103;352;104;312;340;276;0;0;0;0;0;3150;0;29;0;0;0;0;0;0;0;0;14;0;416;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8665;52969754.3;0.632;Moderado;0
AREIAS;-22,5786;-44,6992;0;0;0;0;0;0;0;0;0;0;0;0;389;0;1926;1090;0;24;3642;0;0;1138;0;67;0;148;117;97;0;0;0;36;0;16;0;3;0;0;0;0;0;0;0;0;18;5590;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3906;48300831.74;0.642;Moderado;0
AREIOPOLIS;-22,6672;-48,6681;0;0;0;0;0;0;1;1;5;0;1;0;2144;0;3805;3791;0;37;3880;0;0;0;0;61;215;0;0;70;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;43;400;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11186;52486238.59;0.305;Crítico;3
ARIRANHA;-21,1872;-48,7904;0;0;0;0;0;0;1;0;6;1;0;0;3413;0;3863;0;0;24;9454;0;424;0;1;6;263;283;260;446;0;0;0;0;0;113;0;7;0;0;0;0;0;0;0;0;36;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9851;66940281.46;0.648;Moderado;0
ARTUR NOGUEIRA;-22,5727;-47,1727;0;0;1;0;0;0;2;8;62;0;1;1655;21880;3188;7329;16891;0;0;15811;0;10826;1614;0;0;1405;472;783;1201;0;0;0;0;0;270;0;131;0;0;0;0;0;0;0;0;0;0;9299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56247;273728602.6;0.457;Em risco;3
ARUJA;-23,3965;-46,32;0;0;1;0;0;0;3;23;39;3;1;7766;34177;9320;9484;23388;1368;4003;58240;0;38660;54;0;987;4074;5540;97;4757;1;137;0;74;0;1013;613;43;0;0;5;0;0;0;0;0;0;0;7426;0;5;0;0;30;0;0;0;39;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92453;528443048.9;0.638;Moderado;0
ASPASIA;-20,16;-50,728;0;0;0;0;0;0;0;0;0;0;0;0;210;0;1562;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1815;24259866.39;0.26;Crítico;3
ASSIS;-22,66;-50,4183;1;0;0;9;1;0;13;27;425;2;2;3879;56870;15013;12201;11174;0;224;54406;0;42965;3623;143;356;4473;269;396;705;0;0;0;144;123;3053;267;34;0;2;3;3;0;0;1578;0;19;0;6953;0;3;37;5;16;17;44;153;32;143;0;828;53;7;5;1;120;0;0;0;0;13;0;0;0;0;0;105768;583846663.32;0.785;Estruturado;0
ATIBAIA;-23,1171;-46,5563;0;0;0;6;1;0;5;62;309;1;4;14891;86409;12458;17459;18511;5278;6716;42028;0;52862;76;8;704;4373;1470;307;541;1;92;0;47;63;782;28;208;0;0;15;0;0;0;0;0;51;103500;404;0;8;0;0;23;0;31;57;21;1;0;528;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145378;1020275552.15;0.683;Estruturado;1
AURIFLAMA;-20,6836;-50,5572;0;0;0;1;0;0;1;1;19;0;0;0;4748;393;7053;1362;0;62;22560;0;2914;0;0;207;508;398;487;598;0;0;0;39;0;146;0;51;0;0;0;0;0;0;0;0;0;69530;4281;0;0;0;0;1;0;23;0;6;0;0;137;30;0;0;2;2;0;0;0;0;0;0;0;0;0;0;15316;81465067.88;0.661;Moderado;0
AVAI;-22,1514;-49,3356;0;0;0;0;0;0;0;0;0;0;0;0;530;549;1882;820;0;0;1624;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5467;45749943.24;0.352;Crítico;3
AVANHANDAVA;-21,4584;-49,9509;0;0;0;0;0;0;1;1;4;0;0;0;2149;401;2711;4471;0;0;5357;0;3;242;0;168;0;340;0;414;0;0;0;18;0;83;0;0;0;0;0;0;0;0;0;0;30;15060;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14063;71836245.12;0.426;Em risco;3
AVARE;-23,1067;-48,9251;0;0;0;1;1;0;6;9;255;1;2;2971;43781;12207;11828;18847;84;507;34348;0;37344;2608;13;245;3196;3025;64;177;108;186;28;128;0;608;0;4;0;0;21;21;0;54;1693;0;0;0;76;0;13;4;21;45;3;81;184;30;7;2;1723;26;6;1;0;190;0;0;0;3;38;0;0;0;0;0;91792;493529160.09;0.633;Moderado;0
BADY BASSITT;-20,9197;-49,4385;0;0;0;0;0;0;1;2;8;1;0;687;19473;5250;0;1617;0;281;21581;87;15735;0;0;1;608;642;16;560;96;0;0;15;0;221;0;8;0;0;0;0;0;0;0;0;32;0;9170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18013;131320423.74;0.667;Moderado;0
BALBINOS;-21,8963;-49,3619;0;0;0;0;0;0;0;0;0;0;0;0;1188;0;0;170;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6127;25763162.54;0.233;Crítico;3
BALSAMO;-20,7348;-49,5865;0;0;0;0;0;0;0;0;1;0;0;0;4977;0;4034;506;0;43;917;0;0;0;0;0;0;0;456;0;0;0;0;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9209;52666268.07;0.227;Crítico;3
BANANAL;-22,6819;-44,3281;0;0;0;0;0;0;2;1;2;0;1;0;5035;0;3598;314;850;30;4634;0;1834;0;0;71;450;388;40;266;0;0;0;110;0;68;0;33;0;0;0;0;0;0;0;0;0;23770;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11039;60460258.65;0.634;Moderado;0
BARAO DE ANTONINA;-23,6284;-49,5634;0;0;0;0;0;0;0;0;0;0;0;0;0;277;805;2137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3525;34552852.07;0.188;Crítico;3
BARBOSA;-21,2657;-49,9518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266;4176;0;38;8653;0;0;297;0;0;0;731;177;387;0;0;0;19;0;40;0;26;0;0;0;0;0;0;0;0;0;20080;9109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7532;42129253.6;0.537;Em risco;0
BARIRI;-22,073;-48,7438;0;0;0;1;0;0;3;4;66;0;0;0;16125;2471;7610;5062;0;110;24287;0;8317;208;46;144;1779;1090;1132;2414;1;0;0;6;0;357;0;212;0;0;0;0;0;0;0;0;34;40000;13800;0;8;0;0;1;0;24;3;9;1;0;597;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35844;167483775.31;0.69;Estruturado;0
