cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
3506904;Alta Vulnerabilidade;3824;1416;8
3506904;Muito Alta Vulnerabilidade;0;0;0
3507001;Baixíssima Vulnerabilidade;4031;1417;8
3507001;Muito Baixa Vulnerabilidade;28498;10388;56
3507001;Baixa Vulnerabilidade;9385;3312;14
3507001;Média Vulnerabilidade;6421;2122;17
3507001;Alta Vulnerabilidade;11778;4137;19
3507001;Muito Alta Vulnerabilidade;0;0;0
3507100;Baixíssima Vulnerabilidade;162;53;1
3507100;Muito Baixa Vulnerabilidade;7674;2792;23
3507100;Baixa Vulnerabilidade;2982;1059;5
3507100;Média Vulnerabilidade;3212;1072;9
3507100;Alta Vulnerabilidade;7073;2460;15
3507100;Muito Alta Vulnerabilidade;0;0;0
3507159;Baixíssima Vulnerabilidade;0;0;0
3507159;Muito Baixa Vulnerabilidade;0;0;0
3507159;Baixa Vulnerabilidade;319;105;1
3507159;Média Vulnerabilidade;1217;401;4
3507159;Alta Vulnerabilidade;1989;658;4
3507159;Muito Alta Vulnerabilidade;0;0;0
3507209;Baixíssima Vulnerabilidade;0;0;0
3507209;Muito Baixa Vulnerabilidade;0;0;0
3507209;Baixa Vulnerabilidade;0;0;0
3507209;Média Vulnerabilidade;442;174;1
3507209;Alta Vulnerabilidade;296;94;1
3507209;Muito Alta Vulnerabilidade;0;0;0
3507308;Baixíssima Vulnerabilidade;0;0;0
3507308;Muito Baixa Vulnerabilidade;1319;470;3
3507308;Baixa Vulnerabilidade;625;213;1
3507308;Média Vulnerabilidade;1940;665;4
3507308;Alta Vulnerabilidade;790;276;2
3507308;Muito Alta Vulnerabilidade;0;0;0
3507407;Baixíssima Vulnerabilidade;411;185;1
3507407;Muito Baixa Vulnerabilidade;5917;2282;19
3507407;Baixa Vulnerabilidade;862;324;2
3507407;Média Vulnerabilidade;4356;1660;10
3507407;Alta Vulnerabilidade;2324;886;6
3507407;Muito Alta Vulnerabilidade;0;0;0
3507456;Baixíssima Vulnerabilidade;0;0;0
3507456;Muito Baixa Vulnerabilidade;1541;542;4
3507456;Baixa Vulnerabilidade;0;0;0
3507456;Média Vulnerabilidade;510;192;1
3507456;Alta Vulnerabilidade;512;175;2
3507456;Muito Alta Vulnerabilidade;0;0;0
3507506;Baixíssima Vulnerabilidade;4493;1806;14
3507506;Muito Baixa Vulnerabilidade;70545;26723;172
3507506;Baixa Vulnerabilidade;35308;14136;81
3507506;Média Vulnerabilidade;10893;3740;23
3507506;Alta Vulnerabilidade;21560;7366;37
3507506;Muito Alta Vulnerabilidade;543;179;1
3507605;Baixíssima Vulnerabilidade;10844;3761;24
3507605;Muito Baixa Vulnerabilidade;81470;29470;190
3507605;Baixa Vulnerabilidade;41425;15458;85
3507605;Média Vulnerabilidade;13321;4538;36
3507605;Alta Vulnerabilidade;26675;9240;54
3507605;Muito Alta Vulnerabilidade;212;83;1
3507704;Baixíssima Vulnerabilidade;0;0;0
3507704;Muito Baixa Vulnerabilidade;869;340;4
3507704;Baixa Vulnerabilidade;0;0;0
3507704;Média Vulnerabilidade;1901;721;5
3507704;Alta Vulnerabilidade;2429;854;4
3507704;Muito Alta Vulnerabilidade;0;0;0
3507753;Baixíssima Vulnerabilidade;0;0;0
3507753;Muito Baixa Vulnerabilidade;908;344;3
3507753;Baixa Vulnerabilidade;0;0;0
3507753;Média Vulnerabilidade;1622;618;4
3507753;Alta Vulnerabilidade;0;0;0
3507753;Muito Alta Vulnerabilidade;0;0;0
3507803;Baixíssima Vulnerabilidade;0;0;0
