municipio;alta vulnerabilidade_n_domicilios;baixa vulnerabilidade_n_domicilios;baixissima vulnerabilidade_n_domicilios;muito alta vulnerabilidade_n_domicilios;muito baixa vulnerabilidade_n_domicilios;media vulnerabilidade_n_domicilios;alta vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;baixissima vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_setores;baixa vulnerabilidade_n_setores;baixissima vulnerabilidade_n_setores;muito alta vulnerabilidade_n_setores;muito baixa vulnerabilidade_n_setores;media vulnerabilidade_n_setores
ALTAIR;237.0;0.0;225.0;0.0;178.0;594.0;642.0;0.0;530.0;0.0;527.0;1605.0;1.0;0.0;1.0;0.0;3.0;3.0
ALTINOPOLIS;1258.0;0.0;0.0;0.0;1762.0;3036.0;3676.0;0.0;0.0;0.0;4599.0;8448.0;7.0;0.0;0.0;0.0;11.0;17.0
ALTO ALEGRE;416.0;168.0;0.0;0.0;335.0;533.0;1096.0;410.0;0.0;0.0;844.0;1304.0;2.0;1.0;0.0;0.0;5.0;4.0
ALUMINIO;0.0;570.0;69.0;0.0;4401.0;757.0;0.0;1681.0;199.0;0.0;12790.0;2186.0;0.0;3.0;1.0;0.0;21.0;6.0
ALVARES FLORENCE;96.0;0.0;0.0;0.0;767.0;667.0;301.0;0.0;0.0;0.0;1969.0;1627.0;1.0;0.0;0.0;0.0;6.0;4.0
ALVARES MACHADO;3209.0;486.0;301.0;0.0;3817.0;1961.0;8989.0;1248.0;870.0;0.0;10397.0;5435.0;13.0;2.0;1.0;0.0;22.0;11.0
ALVARO DE CARVALHO;489.0;0.0;0.0;0.0;0.0;628.0;1307.0;0.0;0.0;0.0;0.0;1704.0;4.0;0.0;0.0;0.0;0.0;3.0
ALVINLANDIA;85.0;0.0;0.0;0.0;0.0;883.0;228.0;0.0;0.0;0.0;0.0;2539.0;1.0;0.0;0.0;0.0;0.0;7.0
AMERICANA;3299.0;11489.0;6319.0;163.0;65301.0;2435.0;9557.0;30053.0;16824.0;481.0;172302.0;6753.0;19.0;61.0;42.0;1.0;365.0;14.0
AMERICO BRASILIENSE;2961.0;762.0;0.0;0.0;2537.0;5092.0;8868.0;2112.0;0.0;0.0;7022.0;14758.0;14.0;4.0;0.0;0.0;13.0;27.0
AMERICO DE CAMPOS;598.0;0.0;0.0;0.0;1503.0;260.0;1495.0;0.0;0.0;0.0;3750.0;623.0;2.0;0.0;0.0;0.0;9.0;1.0
AMPARO;3724.0;3274.0;559.0;110.0;14957.0;1446.0;10970.0;8588.0;1508.0;359.0;40931.0;4105.0;17.0;15.0;3.0;1.0;82.0;13.0
ANALANDIA;135.0;0.0;0.0;0.0;1430.0;75.0;352.0;0.0;0.0;0.0;3885.0;236.0;1.0;0.0;0.0;0.0;12.0;1.0
ANDRADINA;3831.0;1217.0;224.0;0.0;12137.0;4360.0;10572.0;3364.0;609.0;0.0;31310.0;11671.0;20.0;7.0;1.0;0.0;58.0;25.0
ANGATUBA;1230.0;692.0;0.0;0.0;3676.0;2752.0;3661.0;1885.0;0.0;0.0;10341.0;7650.0;6.0;4.0;0.0;0.0;19.0;16.0
ANHEMBI;1006.0;54.0;0.0;0.0;284.0;486.0;2852.0;144.0;0.0;0.0;709.0;1335.0;7.0;1.0;0.0;0.0;5.0;6.0
ANHUMAS;101.0;0.0;0.0;0.0;709.0;546.0;306.0;0.0;0.0;0.0;1851.0;1465.0;1.0;0.0;0.0;0.0;5.0;2.0
APARECIDA;1440.0;448.0;0.0;0.0;6523.0;2825.0;4222.0;1005.0;0.0;0.0;18165.0;8566.0;7.0;2.0;0.0;0.0;42.0;16.0
APARECIDA D'OESTE;360.0;0.0;0.0;0.0;176.0;1031.0;899.0;0.0;0.0;0.0;455.0;2572.0;2.0;0.0;0.0;0.0;2.0;9.0
APIAI;2736.0;1007.0;0.0;0.0;1775.0;3056.0;7769.0;2674.0;0.0;0.0;4816.0;8552.0;22.0;5.0;0.0;0.0;13.0;30.0
ARACARIGUAMA;3388.0;1469.0;38.0;0.0;1451.0;918.0;9923.0;4163.0;81.0;0.0;4149.0;2719.0;14.0;6.0;1.0;0.0;14.0;9.0
ARACATUBA;12274.0;12678.0;5808.0;0.0;40004.0;6668.0;34305.0;29932.0;14191.0;0.0;102317.0;17871.0;71.0;78.0;38.0;0.0;255.0;42.0
ARACOIABA DA SERRA;501.0;1042.0;746.0;0.0;7049.0;2166.0;1404.0;3030.0;2179.0;0.0;18798.0;6176.0;5.0;8.0;3.0;0.0;52.0;16.0
ARAMINA;0.0;0.0;0.0;0.0;1229.0;622.0;0.0;0.0;0.0;0.0;3302.0;1703.0;0.0;0.0;0.0;0.0;7.0;4.0
ARANDU;534.0;319.0;0.0;0.0;246.0;1144.0;1632.0;941.0;0.0;0.0;700.0;3174.0;3.0;3.0;0.0;0.0;4.0;10.0
ARAPEI;0.0;0.0;0.0;0.0;91.0;770.0;0.0;0.0;0.0;0.0;245.0;2005.0;0.0;0.0;0.0;0.0;1.0;7.0
ARARAQUARA;11690.0;17404.0;5974.0;0.0;49861.0;7094.0;33884.0;40454.0;16029.0;0.0;128749.0;19914.0;55.0;99.0;38.0;0.0;282.0;37.0
ARARAS;4802.0;6109.0;2142.0;0.0;25869.0;8378.0;13974.0;14998.0;5860.0;0.0;69435.0;24464.0;30.0;34.0;19.0;0.0;185.0;53.0
ARCO-IRIS;0.0;0.0;0.0;0.0;0.0;519.0;0.0;0.0;0.0;0.0;0.0;1426.0;0.0;0.0;0.0;0.0;0.0;4.0
AREALVA;492.0;0.0;0.0;0.0;1786.0;698.0;1331.0;0.0;0.0;0.0;4578.0;1916.0;3.0;0.0;0.0;0.0;15.0;4.0
AREIAS;367.0;0.0;0.0;0.0;147.0;678.0;1090.0;0.0;0.0;0.0;389.0;1926.0;5.0;0.0;0.0;0.0;2.0;6.0
AREIOPOLIS;1223.0;0.0;0.0;0.0;743.0;1305.0;3791.0;0.0;0.0;0.0;2144.0;3805.0;7.0;0.0;0.0;0.0;4.0;9.0
ARIRANHA;0.0;0.0;0.0;0.0;1322.0;1436.0;0.0;0.0;0.0;0.0;3413.0;3863.0;0.0;0.0;0.0;0.0;7.0;7.0
ARTUR NOGUEIRA;5832.0;1127.0;608.0;0.0;7842.0;2566.0;16891.0;3188.0;1655.0;0.0;21880.0;7329.0;29.0;8.0;3.0;0.0;59.0;17.0
ARUJA;7676.0;3164.0;2520.0;409.0;11984.0;3230.0;23388.0;9320.0;7766.0;1368.0;34177.0;9484.0;38.0;16.0;15.0;5.0;59.0;16.0
ASPASIA;0.0;0.0;0.0;0.0;72.0;583.0;0.0;0.0;0.0;0.0;210.0;1562.0;0.0;0.0;0.0;0.0;1.0;4.0
ASSIS;3784.0;5862.0;1469.0;0.0;22296.0;4486.0;11174.0;15013.0;3879.0;0.0;56870.0;12201.0;22.0;27.0;8.0;0.0;114.0;22.0
ATIBAIA;6489.0;4374.0;5452.0;1743.0;31513.0;5985.0;18511.0;12458.0;14891.0;5278.0;86409.0;17459.0;40.0;30.0;39.0;15.0;192.0;48.0
AURIFLAMA;530.0;149.0;0.0;0.0;1902.0;2774.0;1362.0;393.0;0.0;0.0;4748.0;7053.0;2.0;1.0;0.0;0.0;16.0;14.0
AVAI;299.0;218.0;0.0;0.0;194.0;716.0;820.0;549.0;0.0;0.0;530.0;1882.0;1.0;1.0;0.0;0.0;2.0;4.0
AVANHANDAVA;1559.0;143.0;0.0;0.0;766.0;982.0;4471.0;401.0;0.0;0.0;2149.0;2711.0;8.0;2.0;0.0;0.0;4.0;5.0
AVARE;6372.0;4647.0;1065.0;24.0;16912.0;4154.0;18847.0;12207.0;2971.0;84.0;43781.0;11828.0;40.0;35.0;7.0;1.0;123.0;30.0
BADY BASSITT;640.0;1915.0;230.0;0.0;7094.0;0.0;1617.0;5250.0;687.0;0.0;19473.0;0.0;4.0;7.0;2.0;0.0;37.0;0.0
BALBINOS;57.0;0.0;0.0;0.0;482.0;0.0;170.0;0.0;0.0;0.0;1188.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0
BALSAMO;174.0;0.0;0.0;0.0;1960.0;1545.0;506.0;0.0;0.0;0.0;4977.0;4034.0;1.0;0.0;0.0;0.0;13.0;8.0
BANANAL;112.0;0.0;0.0;307.0;1947.0;1292.0;314.0;0.0;0.0;850.0;5035.0;3598.0;2.0;0.0;0.0;2.0;14.0;13.0
BARAO DE ANTONINA;819.0;112.0;0.0;0.0;0.0;308.0;2137.0;277.0;0.0;0.0;0.0;805.0;5.0;1.0;0.0;0.0;0.0;4.0
BARBOSA;1553.0;0.0;0.0;0.0;0.0;479.0;4176.0;0.0;0.0;0.0;0.0;1266.0;8.0;0.0;0.0;0.0;0.0;4.0
BARIRI;1710.0;897.0;0.0;0.0;6351.0;2689.0;5062.0;2471.0;0.0;0.0;16125.0;7610.0;9.0;6.0;0.0;0.0;42.0;15.0
BARRA BONITA;631.0;332.0;152.0;0.0;9188.0;2483.0;1873.0;925.0;413.0;0.0;23713.0;7037.0;3.0;2.0;1.0;0.0;52.0;13.0
BARRA DO CHAPEU;1367.0;0.0;0.0;0.0;0.0;473.0;3850.0;0.0;0.0;0.0;0.0;1227.0;13.0;0.0;0.0;0.0;0.0;5.0
BARRA DO TURVO;960.0;0.0;0.0;0.0;0.0;1024.0;2553.0;0.0;0.0;0.0;0.0;2683.0;5.0;0.0;0.0;0.0;0.0;11.0
BARRETOS;6363.0;12398.0;1332.0;0.0;23680.0;2527.0;17362.0;32172.0;3877.0;0.0;61406.0;7104.0;27.0;51.0;6.0;0.0;113.0;15.0
BARRINHA;4532.0;393.0;0.0;0.0;1474.0;4703.0;13123.0;1104.0;0.0;0.0;4034.0;13519.0;23.0;3.0;0.0;0.0;10.0;24.0
BARUERI;14696.0;25027.0;20720.0;2925.0;37114.0;8876.0;41330.0;72392.0;53858.0;8717.0;113228.0;26383.0;55.0;97.0;96.0;18.0;158.0;36.0
BASTOS;1928.0;640.0;0.0;0.0;2949.0;1951.0;5695.0;1815.0;0.0;0.0;8277.0;5488.0;13.0;6.0;0.0;0.0;20.0;13.0
BATATAIS;2673.0;459.0;245.0;0.0;13767.0;4094.0;7798.0;1335.0;707.0;0.0;36464.0;11419.0;13.0;3.0;1.0;0.0;70.0;22.0
BAURU;17630.0;31021.0;12691.0;1990.0;69922.0;6200.0;51690.0;75047.0;31390.0;6043.0;187380.0;18276.0;72.0;134.0;57.0;17.0;314.0;22.0
BEBEDOURO;4125.0;2898.0;676.0;0.0;17510.0;2726.0;12188.0;7851.0;1727.0;0.0;46410.0;7668.0;18.0;14.0;5.0;0.0;96.0;15.0
BENTO DE ABREU;164.0;164.0;0.0;0.0;263.0;262.0;500.0;431.0;0.0;0.0;702.0;773.0;2.0;1.0;0.0;0.0;2.0;2.0
BERNARDINO DE CAMPOS;1339.0;373.0;0.0;0.0;1754.0;413.0;3679.0;1060.0;0.0;0.0;4683.0;1109.0;7.0;2.0;0.0;0.0;11.0;2.0
BERTIOGA;3200.0;4793.0;182.0;5486.0;6734.0;1017.0;9748.0;13588.0;466.0;15994.0;17707.0;2925.0;23.0;35.0;2.0;36.0;65.0;11.0
BILAC;632.0;299.0;0.0;0.0;1447.0;400.0;1696.0;785.0;0.0;0.0;3729.0;1024.0;4.0;2.0;0.0;0.0;10.0;3.0
BIRIGUI;5788.0;5069.0;1603.0;0.0;22234.0;10542.0;16271.0;12557.0;4431.0;0.0;57115.0;27889.0;33.0;27.0;12.0;0.0;135.0;60.0
BIRITIBA MIRIM;1797.0;236.0;0.0;731.0;2576.0;4650.0;5261.0;678.0;0.0;2176.0;7209.0;13036.0;12.0;1.0;0.0;5.0;17.0;38.0
BOA ESPERANCA DO SUL;1731.0;239.0;0.0;0.0;969.0;1673.0;4901.0;657.0;0.0;0.0;2517.0;4766.0;8.0;2.0;0.0;0.0;8.0;8.0
BOCAINA;704.0;451.0;0.0;0.0;1391.0;1417.0;2041.0;1303.0;0.0;0.0;3537.0;4024.0;4.0;3.0;0.0;0.0;9.0;8.0
BOFETE;1416.0;115.0;0.0;0.0;899.0;1367.0;3824.0;322.0;0.0;0.0;2323.0;3576.0;8.0;1.0;0.0;0.0;7.0;14.0
BOITUVA;4137.0;3312.0;1417.0;0.0;10388.0;2122.0;11778.0;9385.0;4031.0;0.0;28498.0;6421.0;19.0;14.0;8.0;0.0;56.0;17.0
BOM JESUS DOS PERDOES;2460.0;1059.0;53.0;0.0;2792.0;1072.0;7073.0;2982.0;162.0;0.0;7674.0;3212.0;15.0;5.0;1.0;0.0;23.0;9.0
BOM SUCESSO DE ITARARE;658.0;105.0;0.0;0.0;0.0;401.0;1989.0;319.0;0.0;0.0;0.0;1217.0;4.0;1.0;0.0;0.0;0.0;4.0
BORA;94.0;0.0;0.0;0.0;0.0;174.0;296.0;0.0;0.0;0.0;0.0;442.0;1.0;0.0;0.0;0.0;0.0;1.0
BORACEIA;276.0;213.0;0.0;0.0;470.0;665.0;790.0;625.0;0.0;0.0;1319.0;1940.0;2.0;1.0;0.0;0.0;3.0;4.0
BORBOREMA;886.0;324.0;185.0;0.0;2282.0;1660.0;2324.0;862.0;411.0;0.0;5917.0;4356.0;6.0;2.0;1.0;0.0;19.0;10.0
BOREBI;175.0;0.0;0.0;0.0;542.0;192.0;512.0;0.0;0.0;0.0;1541.0;510.0;2.0;0.0;0.0;0.0;4.0;1.0
BOTUCATU;7366.0;14136.0;1806.0;179.0;26723.0;3740.0;21560.0;35308.0;4493.0;543.0;70545.0;10893.0;37.0;81.0;14.0;1.0;172.0;23.0
BRAGANCA PAULISTA;9240.0;15458.0;3761.0;83.0;29470.0;4538.0;26675.0;41425.0;10844.0;212.0;81470.0;13321.0;54.0;85.0;24.0;1.0;190.0;36.0
BRAUNA;854.0;0.0;0.0;0.0;340.0;721.0;2429.0;0.0;0.0;0.0;869.0;1901.0;4.0;0.0;0.0;0.0;4.0;5.0
BREJO ALEGRE;0.0;0.0;0.0;0.0;344.0;618.0;0.0;0.0;0.0;0.0;908.0;1622.0;0.0;0.0;0.0;0.0;3.0;4.0
BRODOWSKI;2068.0;1059.0;0.0;0.0;5015.0;737.0;6265.0;2979.0;0.0;0.0;13656.0;2257.0;9.0;5.0;0.0;0.0;22.0;4.0
BROTAS;1433.0;1515.0;0.0;0.0;4685.0;778.0;4129.0;4210.0;0.0;0.0;12658.0;2187.0;7.0;7.0;0.0;0.0;31.0;7.0
BURI;4208.0;770.0;153.0;0.0;772.0;953.0;12703.0;2063.0;355.0;0.0;2117.0;2640.0;28.0;6.0;1.0;0.0;8.0;7.0
BURITAMA;1139.0;214.0;0.0;0.0;3043.0;2232.0;3101.0;554.0;0.0;0.0;7565.0;5748.0;8.0;1.0;0.0;0.0;23.0;17.0
BURITIZAL;201.0;0.0;0.0;0.0;1154.0;277.0;585.0;0.0;0.0;0.0;2993.0;686.0;1.0;0.0;0.0;0.0;8.0;2.0
CABRALIA PAULISTA;614.0;0.0;0.0;0.0;542.0;428.0;1687.0;0.0;0.0;0.0;1382.0;1189.0;3.0;0.0;0.0;0.0;3.0;3.0
CABREUVA;4228.0;4326.0;135.0;296.0;4798.0;1596.0;13075.0;12979.0;392.0;950.0;14130.0;4902.0;16.0;16.0;1.0;5.0;26.0;11.0
CACAPAVA;4149.0;3153.0;1132.0;104.0;19941.0;4762.0;12905.0;8723.0;3233.0;343.0;55843.0;13767.0;22.0;18.0;7.0;1.0;113.0;25.0
CACHOEIRA PAULISTA;806.0;999.0;501.0;0.0;5699.0;2727.0;2471.0;2775.0;1447.0;0.0;16054.0;8297.0;6.0;6.0;3.0;0.0;40.0;20.0
CACONDE;825.0;80.0;0.0;0.0;2948.0;2220.0;2430.0;223.0;0.0;0.0;7841.0;6138.0;7.0;1.0;0.0;0.0;22.0;12.0
CAFELANDIA;967.0;235.0;224.0;0.0;2869.0;1759.0;2822.0;614.0;533.0;0.0;7413.0;4698.0;6.0;2.0;1.0;0.0;24.0;14.0
CAIABU;110.0;0.0;0.0;0.0;256.0;1027.0;291.0;0.0;0.0;0.0;664.0;2564.0;1.0;0.0;0.0;0.0;2.0;6.0
CAIEIRAS;2675.0;7449.0;1301.0;2227.0;18259.0;682.0;7675.0;21514.0;3827.0;6832.0;52632.0;1979.0;16.0;34.0;10.0;15.0;100.0;5.0
CAIUA;276.0;0.0;0.0;0.0;211.0;1205.0;708.0;0.0;0.0;0.0;493.0;3106.0;2.0;0.0;0.0;0.0;2.0;10.0
CAJAMAR;7232.0;8720.0;666.0;3633.0;10143.0;1875.0;20748.0;23650.0;1944.0;10708.0;28920.0;5475.0;39.0;53.0;6.0;31.0;63.0;13.0
CAJATI;4696.0;382.0;0.0;0.0;1745.0;3010.0;13840.0;1076.0;0.0;0.0;4876.0;8496.0;28.0;2.0;0.0;0.0;8.0;23.0
CAJOBI;296.0;48.0;0.0;0.0;2006.0;1098.0;843.0;138.0;0.0;0.0;5088.0;2872.0;2.0;1.0;0.0;0.0;14.0;6.0
CAJURU;1771.0;169.0;0.0;0.0;4193.0;2370.0;5070.0;400.0;0.0;0.0;11390.0;6589.0;6.0;1.0;0.0;0.0;21.0;14.0
CAMPINA DO MONTE ALEGRE;705.0;314.0;0.0;0.0;636.0;436.0;2023.0;866.0;0.0;0.0;1606.0;1200.0;3.0;1.0;0.0;0.0;5.0;3.0
CAMPINAS;27807.0;62435.0;68137.0;45321.0;201236.0;22668.0;81633.0;148728.0;164725.0;139454.0;527920.0;66893.0;148.0;347.0;390.0;288.0;1118.0;131.0
CAMPO LIMPO PAULISTA;6380.0;3030.0;346.0;967.0;13087.0;2279.0;18946.0;8741.0;955.0;2983.0;37150.0;6635.0;42.0;22.0;4.0;11.0;107.0;21.0
CAMPOS DO JORDAO;1661.0;1983.0;51.0;2905.0;6698.0;1913.0;4934.0;5540.0;140.0;9061.0;18710.0;5633.0;11.0;15.0;1.0;22.0;63.0;14.0
CAMPOS NOVOS PAULISTA;754.0;0.0;0.0;0.0;649.0;403.0;2090.0;0.0;0.0;0.0;1682.0;1092.0;5.0;0.0;0.0;0.0;5.0;5.0
CANANEIA;761.0;514.0;0.0;0.0;1620.0;1157.0;2246.0;1403.0;0.0;0.0;4153.0;3464.0;4.0;3.0;0.0;0.0;11.0;9.0
CANAS;646.0;101.0;0.0;0.0;447.0;311.0;2125.0;267.0;0.0;0.0;1298.0;1015.0;4.0;1.0;0.0;0.0;4.0;4.0
CANDIDO MOTA;1594.0;118.0;0.0;0.0;6220.0;2823.0;4391.0;349.0;0.0;0.0;16340.0;7936.0;8.0;1.0;0.0;0.0;36.0;16.0
CANDIDO RODRIGUES;0.0;0.0;0.0;0.0;562.0;540.0;0.0;0.0;0.0;0.0;1441.0;1435.0;0.0;0.0;0.0;0.0;3.0;4.0
CANITAR;780.0;268.0;0.0;0.0;0.0;964.0;2328.0;772.0;0.0;0.0;0.0;2970.0;6.0;2.0;0.0;0.0;0.0;7.0
CAPAO BONITO;5263.0;733.0;0.0;0.0;5089.0;4837.0;15880.0;2086.0;0.0;0.0;13888.0;14003.0;30.0;5.0;0.0;0.0;37.0;39.0
CAPELA DO ALTO;2866.0;902.0;0.0;0.0;1515.0;1777.0;8709.0;2584.0;0.0;0.0;4220.0;4958.0;15.0;3.0;0.0;0.0;11.0;10.0
CAPIVARI;2329.0;4987.0;59.0;246.0;7793.0;1612.0;7187.0;14611.0;164.0;756.0;21992.0;4841.0;13.0;21.0;1.0;3.0;39.0;8.0
CARAGUATATUBA;12572.0;5622.0;1311.0;1726.0;22457.0;4133.0;37165.0;15331.0;3097.0;5201.0;59191.0;11756.0;72.0;38.0;15.0;14.0;188.0;28.0
CARAPICUIBA;18981.0;22870.0;2668.0;20120.0;60779.0;10858.0;54262.0;63807.0;8107.0;59707.0;168368.0;30826.0;106.0;130.0;23.0;120.0;382.0;64.0
CARDOSO;736.0;272.0;0.0;0.0;1452.0;2120.0;1841.0;664.0;0.0;0.0;3437.0;5315.0;3.0;2.0;0.0;0.0;10.0;13.0
CASA BRANCA;1384.0;1333.0;0.0;0.0;5300.0;1603.0;3947.0;3653.0;0.0;0.0;13860.0;4625.0;6.0;5.0;0.0;0.0;27.0;11.0
CASSIA DOS COQUEIROS;100.0;0.0;0.0;0.0;278.0;698.0;284.0;0.0;0.0;0.0;714.0;1790.0;1.0;0.0;0.0;0.0;2.0;6.0
CASTILHO;1766.0;379.0;0.0;0.0;2650.0;2467.0;4825.0;1111.0;0.0;0.0;7019.0;6670.0;11.0;2.0;0.0;0.0;15.0;18.0
CATANDUVA;4995.0;4569.0;1456.0;0.0;27331.0;5270.0;14237.0;10641.0;3699.0;0.0;71141.0;14643.0;27.0;29.0;13.0;0.0;160.0;31.0
CATIGUA;634.0;283.0;0.0;0.0;1185.0;354.0;1881.0;743.0;0.0;0.0;3282.0;920.0;3.0;1.0;0.0;0.0;7.0;2.0
CEDRAL;446.0;987.0;0.0;0.0;2927.0;183.0;1303.0;2662.0;0.0;0.0;7777.0;502.0;3.0;5.0;0.0;0.0;21.0;3.0
CERQUEIRA CESAR;2664.0;399.0;0.0;0.0;3183.0;1032.0;7555.0;1071.0;0.0;0.0;8406.0;2887.0;16.0;4.0;0.0;0.0;26.0;8.0
CERQUILHO;1564.0;2116.0;72.0;0.0;10664.0;1400.0;4508.0;6052.0;224.0;0.0;29597.0;3915.0;7.0;8.0;1.0;0.0;45.0;8.0
CESARIO LANGE;2225.0;90.0;0.0;0.0;2775.0;852.0;6767.0;261.0;0.0;0.0;7779.0;2544.0;9.0;1.0;0.0;0.0;18.0;7.0
CHARQUEADA;1018.0;495.0;0.0;0.0;3117.0;491.0;3073.0;1381.0;0.0;0.0;8909.0;1507.0;6.0;2.0;0.0;0.0;21.0;4.0
CHAVANTES;984.0;200.0;0.0;0.0;1703.0;1365.0;2846.0;539.0;0.0;0.0;4549.0;3966.0;8.0;1.0;0.0;0.0;11.0;8.0
CLEMENTINA;1739.0;0.0;0.0;0.0;337.0;395.0;4851.0;0.0;0.0;0.0;788.0;1078.0;9.0;0.0;0.0;0.0;2.0;3.0
COLINA;868.0;0.0;0.0;0.0;4302.0;1390.0;2642.0;0.0;0.0;0.0;11732.0;4070.0;4.0;0.0;0.0;0.0;23.0;7.0
COLOMBIA;759.0;114.0;0.0;0.0;245.0;1122.0;2123.0;311.0;0.0;0.0;671.0;3069.0;4.0;1.0;0.0;0.0;2.0;7.0
CONCHAL;4386.0;853.0;197.0;0.0;2244.0;1735.0;13645.0;2370.0;560.0;0.0;6175.0;5170.0;20.0;4.0;1.0;0.0;14.0;14.0
CONCHAS;1316.0;352.0;0.0;0.0;2920.0;935.0;3747.0;898.0;0.0;0.0;7681.0;2634.0;8.0;4.0;0.0;0.0;21.0;8.0
CORDEIROPOLIS;1585.0;3220.0;0.0;79.0;3330.0;50.0;4874.0;9301.0;0.0;272.0;9139.0;151.0;7.0;13.0;0.0;1.0;20.0;1.0
COROADOS;339.0;178.0;0.0;0.0;801.0;668.0;942.0;479.0;0.0;0.0;2143.0;1754.0;2.0;1.0;0.0;0.0;6.0;4.0
CORONEL MACEDO;458.0;0.0;115.0;0.0;220.0;861.0;1219.0;0.0;306.0;0.0;537.0;2218.0;3.0;0.0;1.0;0.0;2.0;8.0
CORUMBATAI;213.0;0.0;0.0;0.0;882.0;306.0;655.0;0.0;0.0;0.0;2453.0;906.0;1.0;0.0;0.0;0.0;7.0;3.0
COSMOPOLIS;3096.0;2043.0;40.0;573.0;13570.0;2011.0;8539.0;5742.0;117.0;1567.0;37050.0;5658.0;17.0;13.0;1.0;6.0;91.0;13.0
COSMORAMA;1467.0;0.0;0.0;0.0;1339.0;427.0;4037.0;0.0;0.0;0.0;3480.0;1113.0;7.0;0.0;0.0;0.0;5.0;5.0
COTIA;19747.0;17810.0;11236.0;3563.0;34690.0;7659.0;57502.0;50117.0;32516.0;10749.0;97082.0;22172.0;120.0;117.0;92.0;28.0;246.0;59.0
CRAVINHOS;3576.0;1095.0;423.0;0.0;4122.0;1958.0;11074.0;3240.0;1223.0;0.0;11509.0;5662.0;14.0;5.0;3.0;0.0;20.0;9.0
CRISTAIS PAULISTA;830.0;0.0;0.0;0.0;1832.0;484.0;2439.0;0.0;0.0;0.0;5060.0;1440.0;5.0;0.0;0.0;0.0;12.0;4.0
CRUZALIA;0.0;0.0;0.0;0.0;419.0;348.0;0.0;0.0;0.0;0.0;1039.0;911.0;0.0;0.0;0.0;0.0;3.0;2.0
CRUZEIRO;1535.0;1936.0;481.0;344.0;20797.0;1407.0;4693.0;5344.0;1271.0;1106.0;57441.0;4193.0;9.0;11.0;3.0;4.0;116.0;10.0
CUBATAO;3621.0;3606.0;0.0;12821.0;14234.0;5477.0;10333.0;9492.0;0.0;36426.0;39276.0;15936.0;18.0;20.0;0.0;76.0;69.0;28.0
CUNHA;1923.0;127.0;175.0;0.0;2089.0;4125.0;5005.0;311.0;456.0;0.0;5143.0;10801.0;9.0;1.0;1.0;0.0;14.0;37.0
DESCALVADO;944.0;1680.0;246.0;0.0;7050.0;1394.0;2824.0;4557.0;708.0;0.0;19144.0;4158.0;4.0;8.0;1.0;0.0;40.0;8.0
