municipio;acoes coletivas / individuais em saude;vigilancia em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico em vigilancia epidemiologica e ambiental;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;anestesiologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;autorizacao / regulacao;total
ALTAIR;314.0;;212.0;;;10.0;;;;;;;;;;580.0;4284.0;583.0;;;;;257.0;;;;;;;;;;;;;;;48.0;;;;;;;;;;20.0;;;;6308
ALTIN�POLIS;5369.0;151.0;905.0;9820.0;;852.0;118.0;;;;;;183.0;;;1176.0;25730.0;632.0;;;;;638.0;;;52.0;;1.0;;;;;;;;;;64.0;;;;;;;;;;11.0;;;860;46562
ALTO ALEGRE;297.0;131.0;;3654.0;;1126.0;;;;;;;;;;;1419.0;282.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6909
ALUM�NIO;;865.0;;6893.0;;684.0;;;;;;;84.0;;;280.0;5402.0;;35.0;;;;;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;14264
�LVARES FLORENCE;;51.0;18.0;;;;;;;;;;29.0;;;;195.0;766.0;;;;;;;;91.0;;;;;;;;;;;;;;;;;;;;;;;;;509;1659
�LVARES MACHADO;3899.0;77.0;;500.0;;108.0;;;;;;;56.0;;;;8715.0;1559.0;1.0;;;;648.0;;;13.0;;;;;;;;;;;;110.0;1.0;;;;;;;;;16.0;;;;15703
�LVARO DE CARVALHO;;;183.0;;;;;;;;;;;;;90.0;1564.0;345.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2182
ALVINL�NDIA;544.0;11.0;78.0;;;;;;;;;;17.0;;;22.0;923.0;24.0;;;;;53.0;;;;;;;;;;;;;;;40.0;;;;;;;;;;6.0;;;;1718
AMERICANA;6144.0;632.0;6701.0;108651.0;387.0;6840.0;2378.0;414.0;171.0;37.0;319.0;;2892.0;42.0;;1948.0;75861.0;6996.0;215.0;;953.0;23.0;2571.0;937.0;;364.0;;43.0;179.0;;87.0;;5.0;;;;;211.0;;;8.0;;;;;;;68.0;10.0;;;226087
AM�RICO BRASILIENSE;118.0;108.0;4132.0;3700.0;;350.0;392.0;;;;;;200.0;;;2410.0;23103.0;316.0;;;;;465.0;;;15.0;;8.0;;;;;;;;;;103.0;;;;;;;;;;25.0;;;;35445
AM�RICO DE CAMPOS;;70.0;;1813.0;;;;;;;;;58.0;;;14.0;238.0;28.0;;;;;1.0;;;;;;;;;;;;;;;2.0;;;;;;;;;;7.0;;;;2231
AMPARO;160.0;8154.0;28.0;60972.0;;1076.0;100.0;290.0;;;29.0;;2107.0;;;71.0;19156.0;2718.0;5.0;;1399.0;;938.0;158.0;;84.0;;9.0;33.0;;1.0;2.0;7.0;;;1.0;;4.0;;1.0;29.0;;;;;;;194.0;39.0;;;97765
ANAL�NDIA;282.0;20.0;33.0;1819.0;;253.0;;;;;;;;;;844.0;5224.0;75.0;;;;;367.0;;;10.0;;;;;;;;;;;;24.0;;;;;;;;;;;;;;8951
ANDRADINA;3496.0;223.0;1377.0;501.0;;1035.0;10.0;;;;;;330.0;;;2194.0;38821.0;1454.0;56.0;;;;243.0;;;64.0;;;;;;;;;;;;23.0;;;;;;;;;;;;;;49827
ANGATUBA;557.0;46.0;2.0;14425.0;;1066.0;95.0;;;;35.0;;146.0;;;307.0;15198.0;724.0;;;;;;;;60.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;32673
ANHEMBI;2542.0;18.0;435.0;;;3.0;26.0;;;;;;63.0;;;750.0;8472.0;793.0;;;;;275.0;;1.0;62.0;;;;;;;;;;;;38.0;;;;;;;;;;;;;;13478
ANHUMAS;43.0;254.0;;1556.0;;;;;;;;;;;;;9.0;746.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439;3047
APARECIDA;148.0;;;3621.0;;1474.0;10.0;;;;;;265.0;;;;17123.0;271.0;17.0;;;;320.0;;;127.0;;2.0;;;;;14.0;;;;;36.0;;10.0;;;;;;;;28.0;;;;23466
APARECIDA D'OESTE;4437.0;33.0;169.0;;;23.0;;;;;;;35.0;;;212.0;4355.0;341.0;;;;;273.0;;;32.0;;1.0;;;;;;;;;;40.0;;;;;;;;;;;;;360;10311
APIA�;33.0;42.0;;10250.0;;1084.0;;;;;;;316.0;;;131.0;6228.0;385.0;30.0;;;;257.0;;;58.0;;;;;;;;;;;;31.0;;;;;;;;;;;;;;18845
ARA�ARIGUAMA;2930.0;68.0;2830.0;20225.0;;2788.0;74.0;;;;;;740.0;;4.0;2615.0;62464.0;1158.0;;;;;;;;40.0;;28.0;;;;;;;;;;;;;;;;;;;;;;;;95964
ARA�ATUBA;4761.0;1258.0;500.0;69012.0;2229.0;8304.0;49.0;117.0;117.0;171.0;3.0;;3922.0;;;1975.0;72440.0;356.0;55.0;;;;3099.0;;;209.0;;216.0;96.0;2.0;;;;;;;;694.0;3.0;;;;;;;;;3085.0;;;14361;187034
ARA�OIABA DA SERRA;44.0;85.0;;14059.0;;995.0;286.0;;;;;;65.0;;;723.0;21541.0;918.0;38.0;;;;4.0;;;36.0;;1.0;;;;;;;;;;4.0;;;;;;;;;;;;;;38799
ARAMINA;932.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;;;;945
ARANDU;570.0;35.0;114.0;;;;;;;;;;;;;84.0;1434.0;;;;;;13.0;;;6.0;;;;;;;;;;;;23.0;;;;;;;;;;;;;;2279
ARAPE�;11.0;6.0;68.0;;;;;;;;;;48.0;;;98.0;2991.0;218.0;;;;;187.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;22.0;;;2406;6060
ARARAQUARA;14297.0;2135.0;2115.0;75566.0;3384.0;6430.0;1484.0;400.0;267.0;137.0;264.0;;16121.0;;;3161.0;144218.0;9293.0;761.0;869.0;2965.0;61.0;2588.0;30.0;;620.0;;157.0;834.0;;37.0;9.0;3.0;;;;;383.0;;1.0;39.0;;;;1.0;;;604.0;44.0;;;289278
ARARAS;18852.0;404.0;1971.0;44354.0;42.0;5442.0;600.0;703.0;;1.0;80.0;;1367.0;35.0;;1958.0;76183.0;;31.0;360.0;1238.0;45.0;2879.0;5.0;;332.0;;2.0;47.0;;3.0;9.0;8.0;;;1.0;;434.0;;;6.0;;;;;;;;5.0;;;157397
ARCO-�RIS;477.0;6.0;71.0;;;;;;;;;;;;;30.0;874.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1458
AREALVA;416.0;40.0;181.0;40.0;;104.0;352.0;;;;;;3150.0;;;276.0;9711.0;312.0;103.0;;;;340.0;;;;;;498.0;;;;;;;;;29.0;;;;;;;;;;14.0;;;;15566
AREIAS;38.0;24.0;1138.0;;;;67.0;;;;;;16.0;;;97.0;3642.0;148.0;;;;;117.0;;;36.0;;;;;;;;;;;;3.0;;;;;;;;;;18.0;;;559;5903
AREI�POLIS;208.0;37.0;;;;215.0;61.0;;;;;;;;;70.0;3880.0;;;;;;;;;2.0;;3.0;;;;;;;;;;;;;;;;;;;;43.0;;;40;4559
ARIRANHA;52.0;24.0;;424.0;;263.0;6.0;;;;;;113.0;;;446.0;9454.0;283.0;1.0;;;;260.0;;;;;;;;;;;;;;;7.0;;;;;;;;;;36.0;;;;11369
ARTUR NOGUEIRA;9299.0;;1614.0;10826.0;;1405.0;;;;;;;270.0;;;1201.0;15811.0;472.0;;;;;783.0;;;;;;;;;;;;;;;131.0;;;;;;;;;;;;;;41812
ARUJ�;7426.0;4003.0;54.0;38660.0;613.0;4074.0;987.0;137.0;;;;;1013.0;;;4757.0;58240.0;5540.0;;;;5.0;97.0;1.0;;74.0;;31.0;;;;;;;;;;43.0;;;;;;;;;;;;;;125755
ASP�SIA;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
ASSIS;6953.0;224.0;3623.0;42965.0;267.0;4473.0;356.0;;;;123.0;;3053.0;3.0;;705.0;54406.0;269.0;143.0;;1578.0;3.0;396.0;;;144.0;;11.0;52.0;;;7.0;;;;;;34.0;;2.0;13.0;;;;;;;19.0;16.0;;;119838
ATIBAIA;404.0;6716.0;76.0;52862.0;28.0;4373.0;704.0;92.0;;;63.0;;782.0;;;541.0;42028.0;1470.0;8.0;;;15.0;307.0;1.0;;47.0;;;;;;1.0;12.0;;;;;208.0;;;;;;;;;;51.0;;;10350;121139
AURIFLAMA;4281.0;62.0;;2914.0;;508.0;207.0;;;;;;146.0;;;598.0;22560.0;398.0;;;;;487.0;;;39.0;;3.0;;;;;;;;;;51.0;;;;;;;;;;;;;6953;39207
AVA�;670.0;;;;;;;;;;;;;;;49.0;1624.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2343
AVANHANDAVA;101.0;;242.0;3.0;;;168.0;;;;;;83.0;;;414.0;5357.0;340.0;;;;;;;;18.0;;4.0;;;;;;;;;;;;;;;;;;;;30.0;;;1506;8266
AVAR�;76.0;507.0;2608.0;37344.0;;3196.0;245.0;186.0;28.0;;;;608.0;21.0;;177.0;34348.0;3025.0;13.0;54.0;1693.0;21.0;64.0;108.0;;128.0;;;;;;1.0;;;;;;4.0;;;8.0;;;;;;;;4.0;;;84467
BADY BASSITT;9170.0;281.0;;15735.0;;608.0;1.0;;;;;;221.0;;87.0;560.0;21581.0;642.0;;;;;16.0;96.0;;15.0;;;;;;;;;;;;8.0;;;;;;;;;;32.0;;;;49053
BALBINOS;698.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733
B�LSAMO;163.0;43.0;;;;;;;;;;;;;;;917.0;;;;;;456.0;;;2.0;;;;;;;;;;;;14.0;;;;;;;;;;;;;;1595
BANANAL;19.0;30.0;;1834.0;;450.0;71.0;;;;;;68.0;;;266.0;4634.0;388.0;;;;;40.0;;;110.0;;;;;;;;;;;;33.0;;;;;;;;;;;;;2377;10320
BARBOSA;9109.0;38.0;297.0;;;;;;;;;;40.0;;;387.0;8653.0;731.0;;;;;177.0;;;19.0;;;;;;;;;;;;26.0;;;;;;;;;;;;;2008;21485
BARIRI;13800.0;110.0;208.0;8317.0;;1779.0;144.0;;;;;;357.0;;;2414.0;24287.0;1090.0;46.0;;;;1132.0;1.0;;6.0;;;;;;;;;;;;212.0;;;;;;;;;;34.0;;;4000;57937
BARRA BONITA;2562.0;;112.0;1025.0;;946.0;253.0;76.0;37.0;;45.0;;583.0;;;1152.0;17241.0;1279.0;;;;;1353.0;;;151.0;;;;;;;;;;;;144.0;;;;;;;;;;36.0;;;;26995
BARRA DO CHAP�U;;76.0;;;;;;;;;;;;;;;;136.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212
BARRA DO TURVO;;49.0;381.0;2687.0;;344.0;;;;;;;49.0;;;330.0;4851.0;;;;;;;;;18.0;;9.0;;;;;;;;;9.0;;;;;;;;;;;;;;;8727
BARRETOS;43705.0;;1051.0;58404.0;40.0;4891.0;1497.0;765.0;1.0;;42.0;;686.0;23.0;2.0;6073.0;109685.0;1265.0;128.0;;2238.0;1.0;2838.0;445.0;;427.0;;98.0;;;3.0;11.0;1.0;;;;;704.0;;;21.0;;;;;;;59.0;25.0;;;235129
BARRINHA;1718.0;;19.0;32.0;;257.0;7.0;;;;;;;;;1013.0;10961.0;506.0;;;;;345.0;;;36.0;;;;;;;;;;;;98.0;;;;;;;;;;;;;;14992
BARUERI;24322.0;952.0;35238.0;436033.0;3246.0;25317.0;29914.0;3455.0;1147.0;14.0;2666.0;;22745.0;251.0;;17115.0;466404.0;4560.0;568.0;;2934.0;15.0;8148.0;922.0;;912.0;;169.0;207.0;5.0;5.0;3.0;;;;;;886.0;1.0;120.0;10.0;;;;;;;55.0;10.0;;34;1088383
BASTOS;5615.0;97.0;;4861.0;;992.0;;;;;;;80.0;;;192.0;11514.0;1095.0;;;;;624.0;1.0;;32.0;;;;;;;;;;;;149.0;;;;;;;;;;21.0;;;1065;26338
BATATAIS;17136.0;303.0;1809.0;42457.0;;2757.0;970.0;100.0;;;;;2326.0;;;1836.0;52659.0;386.0;47.0;;1491.0;;490.0;;;115.0;;24.0;;;;7.0;;;;;;126.0;1.0;;10.0;;;;;;;;3.0;;;125053
BAURU;26809.0;102783.0;2883.0;178305.0;;6878.0;570.0;19.0;113.0;;;;1411.0;;;7682.0;231829.0;1472.0;15.0;;;;1642.0;6.0;;179.0;;12.0;;;;;;;;;;536.0;;;;;;;;;;811.0;;1.0;2081;566037
BEBEDOURO;7885.0;;980.0;42714.0;106.0;817.0;181.0;;;;19.0;;1156.0;;;608.0;27412.0;711.0;;;;;;;;83.0;;;51.0;58.0;;;;;;;;;;;;;;;;;;;;;;82781
BERNARDINO DE CAMPOS;;30.0;;992.0;;622.0;;;;;;;127.0;;;2.0;5636.0;242.0;10.0;;;;;;;25.0;;1.0;;;;3.0;;;;;;;;;;;;;;;;36.0;;;;7726
BERTIOGA;31120.0;149.0;3368.0;45086.0;224.0;3616.0;1527.0;74.0;26.0;;18.0;;1206.0;;3.0;3484.0;93979.0;1590.0;11.0;;;;1442.0;84.0;;419.0;;25.0;;;6.0;;7.0;;;;;288.0;;;;;;;;;;;;;;187752
BILAC;4620.0;;47.0;351.0;;206.0;;;;;;;22.0;;;322.0;9342.0;160.0;;;;;560.0;;;1.0;;1.0;;;;;;;;;;42.0;;;;;;;;;;18.0;;;3275;18967
BIRIGUI;27103.0;136.0;681.0;25228.0;20.0;4578.0;1135.0;988.0;54.0;;104.0;;1553.0;;;8631.0;106402.0;805.0;67.0;;;;2023.0;419.0;;522.0;;48.0;;;;;1.0;;;;;391.0;2.0;;;;;;;;;85.0;;;;180976
BIRITIBA-MIRIM;857.0;30.0;354.0;6031.0;;909.0;43.0;;;;;;196.0;;;702.0;14338.0;;91.0;;;;35.0;;;20.0;;;;;;;;;;;;59.0;;;;;;;;;;;;;;23665
BOA ESPERAN�A DO SUL;;;;138.0;;;;;;;;;90.0;;;200.0;4041.0;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;4481
BOCAINA;5260.0;;374.0;;;153.0;63.0;;;;;;50.0;;;95.0;9167.0;333.0;;;;;483.0;;;52.0;;4.0;;;;;;;;;;35.0;;;;;;;;;;;;;2887;18956
BOFETE;28.0;21.0;29.0;;;;350.0;;;;;;88.0;;;176.0;6218.0;;120.0;;;;;;;156.0;;;;;;;;;;;;;;;;;;;;;;;;;;7186
BOITUVA;2935.0;289.0;998.0;23268.0;;1497.0;882.0;220.0;36.0;;59.0;;645.0;;;2354.0;58022.0;3163.0;;;;;458.0;;;146.0;;50.0;;;;;;;;;;85.0;;;;;;;;;;141.0;;;2500;97748
BOM JESUS DOS PERD�ES;;;316.0;2500.0;;1157.0;1.0;;;;;;131.0;;;231.0;13686.0;899.0;;;;;;;;9.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;18931
BOM SUCESSO DE ITARAR�;27.0;20.0;;;;;;;;;;;;;;;154.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0;;;;217
BORAC�IA;2236.0;9.0;145.0;;;1.0;;;;;;;;;;141.0;5529.0;119.0;;;;;169.0;;;;;;;;;;;;;;;21.0;;;;;;;;;;4.0;;;1000;9374
BORBOREMA;837.0;168.0;22.0;2574.0;;487.0;239.0;;;;;;104.0;;;355.0;10587.0;1055.0;;;;;47.0;;;39.0;;2.0;4.0;;;;;;;;1.0;20.0;;;;;;;;;;23.0;;;;16564
BOREBI;746.0;;108.0;;;9.0;;;;;;;11.0;;;84.0;1893.0;236.0;;;;;456.0;1.0;;;;;;;;;;;;;;34.0;;;;;;;;;;8.0;;;84;3670
BOTUCATU;43065.0;249.0;9656.0;54.0;;1037.0;336.0;;;;107.0;;1271.0;;;8186.0;69447.0;2373.0;151.0;;;;5002.0;506.0;;89.0;;146.0;;;30.0;;1.0;;;;;646.0;;;;;;;;;;2.0;;;;142354
BRAGAN�A PAULISTA;242.0;456.0;2734.0;87524.0;;6927.0;2407.0;804.0;;;372.0;;2165.0;;;6163.0;112036.0;419.0;334.0;;;;843.0;14.0;;445.0;;4.0;39.0;;7.0;52.0;;;;;;298.0;;3.0;;;;;;;;;;;;224288
BRA�NA;2573.0;14.0;151.0;;;;;;;;;;;;;182.0;5389.0;;;;;;535.0;;;1.0;;;;;;;;;;;;65.0;;;;;;;;;;;;;;8910
BREJO ALEGRE;389.0;;89.0;;;2.0;;;;;;;;;;165.0;3453.0;396.0;;;;;156.0;1.0;;1.0;;;;;;;;;;;;17.0;;;;;;;;;;;;;;4669
BRODOWSKI;16448.0;;1085.0;12658.0;;430.0;;;;;;;83.0;;;1056.0;30547.0;699.0;;;;;541.0;1.0;;9.0;;37.0;;;;;;;;;;100.0;;;;;;;;;;;;;;63694
BROTAS;2375.0;153.0;687.0;1438.0;;636.0;;;;;;;384.0;;;1882.0;17806.0;129.0;12.0;;;;641.0;;;45.0;;2.0;;;;;;;;;;76.0;;;;;;;;;;;;;;26266
BURI;1281.0;9.0;155.0;6530.0;;563.0;;;;;;;95.0;;;336.0;7891.0;523.0;;;;;;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;2334;19830
BURITAMA;9032.0;960.0;221.0;3886.0;;581.0;286.0;;;;;;519.0;;;794.0;23316.0;544.0;2365.0;;;;485.0;52.0;;4.0;;4.0;356.0;;;;;;;;;99.0;;;;;;;;;;14.0;;;5597;49115
BURITIZAL;45.0;11.0;73.0;;;4.0;;;;;;;4.0;;;150.0;4684.0;269.0;;;;;210.0;;;;;;;;;;;;;;;12.0;;;;;;;;;;15.0;;;;5477
CABR�LIA PAULISTA;4363.0;13.0;251.0;;;;;;;;;;;;;597.0;8896.0;208.0;;;;;446.0;;;;;;;;;;;;;;;89.0;;;;;;;;;;;;;;14863
CABRE�VA;5658.0;38.0;1846.0;26929.0;;3059.0;595.0;;;;;;602.0;;;3106.0;61620.0;621.0;333.0;;;;1256.0;80.0;;144.0;;4.0;;;;;;;;;;187.0;;;;;;;;;;;;;;106078
CA�APAVA;16283.0;228.0;41.0;62310.0;612.0;3124.0;565.0;109.0;7.0;;34.0;;810.0;22.0;47.0;985.0;32462.0;591.0;19.0;;;14.0;2558.0;2.0;;2458.0;;9.0;;20.0;;2.0;3.0;;;;;284.0;;;;;;;;;;;;;2538;126137
CACHOEIRA PAULISTA;73.0;;;11475.0;;1126.0;;;;;;;297.0;;;510.0;12471.0;583.0;;;;3.0;480.0;;;13.0;;3.0;;;;;;;;;;45.0;;;;;;;;;;;;;;27079
CACONDE;3692.0;99.0;188.0;4482.0;;30.0;133.0;;;;;;45.0;;1.0;651.0;8037.0;467.0;7.0;;;;644.0;;;24.0;;;;;;;;;;;;122.0;;;;;;;;;;42.0;;;371;19035
CAFEL�NDIA;9275.0;;613.0;956.0;;392.0;10.0;;;;;;811.0;;;439.0;19902.0;330.0;520.0;;;;300.0;;;31.0;;2.0;21.0;;;;3.0;;;;1.0;78.0;;;;;;;;;;;;;;33684
CAIABU;;4.0;;;;;;;;;;;;;;;;408.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;;;;437
CAIEIRAS;;493.0;1048.0;56764.0;;950.0;641.0;;;;;;799.0;;;3310.0;76374.0;1216.0;34.0;;;;;;;29.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;141672
CAIU�;2729.0;8.0;509.0;;;1.0;;;;;;;;;;301.0;3490.0;162.0;;;;;96.0;;;6.0;;;;;;;;;;;;31.0;;;;;;;;;;;;;;7333
CAJAMAR;5707.0;202.0;;57498.0;2.0;5167.0;2307.0;219.0;;;234.0;;4216.0;;;1575.0;80385.0;5756.0;;;;;;;;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;163326
CAJATI;446.0;402.0;652.0;6909.0;;740.0;341.0;;;;;;179.0;;;2115.0;21228.0;922.0;;;;;110.0;;;47.0;;2.0;;;;;;;;1.0;;;;;;;;;;;;20.0;;;;34114
CAJOBI;;;259.0;;;294.0;;;;;;;84.0;;;170.0;3971.0;350.0;;;;;;;;32.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;5165
CAJURU;300.0;;11.0;10675.0;;831.0;135.0;41.0;;;25.0;;808.0;;8.0;562.0;11519.0;324.0;38.0;;;;893.0;;;299.0;;6.0;;;3.0;3.0;3.0;;;;7.0;40.0;1.0;;;;;;;;;24.0;;;;26556
CAMPINA DO MONTE ALEGRE;;17.0;;;;49.0;;;;;;;90.0;;;;2533.0;112.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2801
CAMPINAS;757.0;839.0;17096.0;611016.0;2123.0;31727.0;10640.0;3636.0;860.0;369.0;1179.0;8.0;27498.0;;110.0;13947.0;321999.0;4178.0;727.0;2141.0;3377.0;111.0;601.0;351.0;;1990.0;;189.0;805.0;26.0;133.0;42.0;35.0;2.0;2.0;8.0;2.0;195.0;4.0;53.0;38.0;;;;;17.0;;565.0;74.0;;;1059470
CAMPO LIMPO PAULISTA;2289.0;97.0;20493.0;31827.0;6.0;3382.0;464.0;464.0;;;61.0;;705.0;;819.0;2151.0;86063.0;4810.0;183.0;;2237.0;;21.0;;;841.0;;10.0;5.0;;;5.0;2.0;;;2.0;;141.0;;109.0;15.0;;;;;;;;19.0;;;157221
CAMPOS DO JORD�O;5389.0;164.0;1695.0;17363.0;;1811.0;360.0;;;;;;315.0;;;2478.0;35326.0;251.0;58.0;;;;1118.0;;;15.0;;1.0;;;;;;;;;;115.0;;;;;;;;;;;;;;66459
CAMPOS NOVOS PAULISTA;2923.0;3.0;349.0;;;;;;;;;;;;;445.0;9700.0;407.0;;;;;220.0;;;1.0;;9.0;;;;;;;;;;25.0;;;;;;;;;;42.0;;;1039;15163
CANAN�IA;;;76.0;;;514.0;;;;;;;83.0;;;165.0;5125.0;190.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;6154
CANAS;36.0;;;;;;;;;;;;;;;;288.0;2.0;;;;;70.0;;;;;;;;;;;;;;;46.0;;;;;;;;;;;;;;442
C�NDIDO MOTA;4370.0;142.0;;19533.0;9.0;926.0;120.0;;;;95.0;;1049.0;;;777.0;23003.0;2456.0;41.0;;;;;11.0;;105.0;;;;;;;;;;;;;;;;;;;;;;62.0;;;;52699
C�NDIDO RODRIGUES;;4.0;;;;;27.0;;;;;;;;;;120.0;;;;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206
CANITAR;81.0;76.0;;559.0;;8.0;;;;;;;;;;;147.0;310.0;;;;;63.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;1.0;;;;1253
