municipio;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
AMERICO BRASILIENSE;Américo Brasiliense;-21,7288;-48,1147;;35;6133;16;America/Sao_Paulo
AMERICO DE CAMPOS;Américo de Campos;-20,2985;-49,7359;;35;6135;17;America/Sao_Paulo
;Ametista do Sul;-27,3607;-53,183;;43;5969;55;America/Sao_Paulo
;Amontada;-3,36017;-39,8288;;23;1587;88;America/Sao_Paulo
;Amorinópolis;-16,6151;-51,0919;;52;9217;64;America/Sao_Paulo
;Amparo;-7,55502;-37,0628;;25;444;83;America/Sao_Paulo
AMPARO;Amparo;-22,7088;-46,772;;35;6137;19;America/Sao_Paulo
;Amparo de São Francisco;-10,1348;-36,935;;28;3101;79;America/Sao_Paulo
;Amparo do Serra;-20,5051;-42,8009;;31;4049;31;America/Sao_Paulo
;Ampére;-25,9168;-53,4686;;41;7417;46;America/Sao_Paulo
;Anadia;-9,68489;-36,3078;;27;2703;82;America/Sao_Paulo
;Anagé;-14,6151;-41,1356;;29;3323;77;America/Sao_Paulo
;Anahy;-24,6449;-53,1332;;41;5463;45;America/Sao_Paulo
;Anajás;-0,996811;-49,9354;;15;413;91;America/Sao_Paulo
;Anajatuba;-3,26269;-44,6126;;21;713;98;America/Sao_Paulo
ANALANDIA;Analândia;-22,1289;-47,6619;;35;6139;19;America/Sao_Paulo
;Anamã;-3,56697;-61,3963;;13;293;97;America/Porto_Velho
;Ananás;-6,36437;-48,0735;;17;9219;63;America/Sao_Paulo
;Ananindeua;-1,36391;-48,3743;;15;415;91;America/Sao_Paulo
;Anápolis;-16,3281;-48,953;;52;9221;62;America/Sao_Paulo
;Anapu;-3,46985;-51,2003;;15;40;91;America/Sao_Paulo
;Anapurus;-3,67577;-43,1014;;21;715;98;America/Sao_Paulo
;Anastácio;-20,4823;-55,8104;;50;9013;67;America/Porto_Velho
;Anaurilândia;-22,1852;-52,7191;;50;9015;67;America/Porto_Velho
;Anchieta;-26,5382;-53,3319;;42;8015;49;America/Sao_Paulo
;Anchieta;-20,7955;-40,6425;;32;5607;28;America/Sao_Paulo
;Andaraí;-12,8049;-41,3297;;29;3325;75;America/Sao_Paulo
;Andirá;-23,0533;-50,2304;;41;7419;43;America/Sao_Paulo
;Andorinha;-10,3482;-39,8391;;29;3255;74;America/Sao_Paulo
;Andradas;-22,0695;-46,5724;;31;4051;35;America/Sao_Paulo
ANDRADINA;Andradina;-20,8948;-51,3786;;35;6141;18;America/Sao_Paulo
;André da Rocha;-28,6283;-51,5797;;43;8491;54;America/Sao_Paulo
;Andrelândia;-21,7411;-44,3117;;31;4055;35;America/Sao_Paulo
ANGATUBA;Angatuba;-23,4917;-48,4139;;35;6143;15;America/Sao_Paulo
;Angelândia;-17,7279;-42,2641;;31;566;33;America/Sao_Paulo
;Angélica;-22,1527;-53,7708;;50;9169;67;America/Porto_Velho
;Angelim;-8,88429;-36,2902;;26;2319;87;America/Sao_Paulo
;Angelina;-27,5704;-48,9879;;42;8017;48;America/Sao_Paulo
;Angical;-12,0063;-44,7003;;29;3327;77;America/Sao_Paulo
;Angical do Piauí;-6,08786;-42,74;;22;1011;86;America/Sao_Paulo
;Angico;-6,39179;-47,8611;;17;165;63;America/Sao_Paulo
;Angicos;-5,65792;-36,6094;;24;1615;84;America/Sao_Paulo
;Angra dos Reis;-23,0011;-44,3196;;33;5801;24;America/Sao_Paulo
;Anguera;-12,1462;-39,2462;;29;3329;75;America/Sao_Paulo
;Ângulo;-23,1946;-51,9154;;41;5509;44;America/Sao_Paulo
;Anhanguera;-18,3339;-48,2204;;52;9223;64;America/Sao_Paulo
ANHEMBI;Anhembi;-22,793;-48,1336;;35;6145;14;America/Sao_Paulo
ANHUMAS;Anhumas;-22,2934;-51,3895;;35;6147;18;America/Sao_Paulo
;Anicuns;-16,4642;-49,9617;;52;9225;64;America/Sao_Paulo
;Anísio de Abreu;-9,18564;-43,0494;;22;1013;89;America/Sao_Paulo
;Anita Garibaldi;-27,6897;-51,1271;;42;8019;49;America/Sao_Paulo
;Anitápolis;-27,9012;-49,1316;;42;8021;48;America/Sao_Paulo
;Anori;-3,74603;-61,6575;;13;203;97;America/Porto_Velho
;Anta Gorda;-28,9698;-52,0102;;43;8513;51;America/Sao_Paulo
;Antas;-10,3856;-38,3401;;29;3331;75;America/Sao_Paulo
;Antonina;-25,4386;-48,7191;;41;7421;41;America/Sao_Paulo
;Antonina do Norte;-6,76919;-39,987;;23;1315;88;America/Sao_Paulo
;Antônio Almeida;-7,21276;-44,1889;;22;1015;89;America/Sao_Paulo
;Antônio Cardoso;-12,4335;-39,1176;;29;3333;75;America/Sao_Paulo
;Antônio Carlos;-27,5191;-48,766;;42;8023;48;America/Sao_Paulo
;Antônio Carlos;-21,321;-43,7451;;31;4057;32;America/Sao_Paulo
;Antônio Dias;-19,6491;-42,8732;;31;4059;31;America/Sao_Paulo
;Antônio Gonçalves;-10,5767;-40,2785;;29;3335;74;America/Sao_Paulo
;Antônio João;-22,1927;-55,9517;;50;9017;67;America/Porto_Velho
;Antônio Martins;-6,21367;-37,8834;;24;1617;84;America/Sao_Paulo
;Antônio Olinto;-25,9804;-50,1972;;41;7423;42;America/Sao_Paulo
;Antônio Prado;-28,8565;-51,2883;;43;8515;54;America/Sao_Paulo
;Antônio Prado de Minas;-21,0192;-42,1109;;31;4061;32;America/Sao_Paulo
;Aparecida;-6,78466;-38,0803;;25;446;83;America/Sao_Paulo
APARECIDA;Aparecida;-22,8495;-45,2325;;35;6149;12;America/Sao_Paulo
APARECIDA D'OESTE;Aparecida d'Oeste;-20,4487;-50,8835;;35;6151;17;America/Sao_Paulo
;Aparecida de Goiânia;-16,8198;-49,2469;;52;9227;62;America/Sao_Paulo
;Aparecida do Rio Doce;-18,2941;-51,1516;;52;71;64;America/Sao_Paulo
;Aparecida do Rio Negro;-9,94139;-47,9638;;17;9713;63;America/Sao_Paulo
;Aparecida do Taboado;-20,0873;-51,0961;;50;9019;67;America/Porto_Velho
;Aperibé;-21,6252;-42,1017;;33;2919;22;America/Sao_Paulo
;Apiacá;-21,1523;-41,5693;;32;5609;28;America/Sao_Paulo
;Apiacás;-9,53981;-57,4587;;51;9773;66;America/Porto_Velho
APIAI;Apiaí;-24,5108;-48,8443;;35;6153;15;America/Sao_Paulo
;Apicum-Açu;-1,45862;-45,0864;;21;112;98;America/Sao_Paulo
;Apiúna;-27,0375;-49,3885;;42;9941;47;America/Sao_Paulo
;Apodi;-5,65349;-37,7946;;24;1619;84;America/Sao_Paulo
;Aporá;-11,6577;-38,0814;;29;3337;75;America/Sao_Paulo
;Aporé;-18,9607;-51,9232;;52;9229;64;America/Sao_Paulo
