municipio;acoes coletivas / individuais em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia de glandulas endocrinas;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;cirurgia em oncologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;avaliacao de morte encefalica;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;medicamentos de ambito hospitalar e urgencia;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;acoes relacionadas ao atendimento;total
SANTA ISABEL;;;2761.0;24.0;86.0;28.0;17.0;;;;;104.0;42.0;42.0;215.0;356.0;92.0;5.0;4.0;43.0;;1.0;;11.0;67.0;;1.0;;;;14.0;10.0;24.0;;28.0;1.0;;;5.0;;;;;;;;;16.0;3.0;;692.0;4692
SANTA RITA DO PASSA QUATRO;;;311.0;;25.0;;;;;;;24.0;;;164.0;;31.0;1.0;3.0;8.0;;4.0;;1.0;;;;;;;9.0;6.0;;;8.0;;;;;;;;;;;;;1.0;7.0;;122.0;725
SANTA ROSA DE VITERBO;;;259.0;;10.0;6.0;;;;;;12.0;;;668.0;;43.0;;3.0;7.0;;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;179.0;1190
SANTANA DE PARNAIBA;;316.0;1720.0;;56.0;;;;;;;237.0;;;2714.0;;123.0;4.0;7.0;;;;;48.0;;;;;;;;;;;31.0;;;;;;;;;;;;;;;;;5256
SANTO ANASTACIO;;;848.0;12.0;43.0;24.0;;;;;;20.0;;4.0;187.0;20.0;70.0;8.0;2.0;;;4.0;;3.0;;;1.0;;;;;1.0;3.0;;1.0;;;;;;;;;;;;;1.0;;;239.0;1491
SANTO ANDRE;;32.0;49951.0;375.0;1104.0;286.0;971.0;107.0;;63.0;;1866.0;933.0;15728.0;32809.0;11639.0;1525.0;44.0;332.0;657.0;3.0;136.0;1475.0;187.0;156.0;4.0;29.0;24.0;8.0;37.0;315.0;313.0;192.0;14.0;148.0;23.0;6.0;9.0;29.0;5.0;31.0;;;;;;;398.0;703.0;261.0;5181.0;128109
SANTO ANTONIO DA ALEGRIA;;;;;;;;;;;;;;;3.0;;2.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
SANTOS;;517.0;66114.0;869.0;3080.0;990.0;1215.0;150.0;;179.0;5.0;3611.0;984.0;19054.0;33907.0;23103.0;1233.0;367.0;500.0;1425.0;;104.0;2194.0;234.0;1162.0;3.0;71.0;15.0;21.0;136.0;246.0;189.0;181.0;20.0;243.0;155.0;11.0;1.0;62.0;64.0;40.0;;;17.0;;1.0;;355.0;764.0;377.0;14547.0;178516
SAO BENTO DO SAPUCAI;;;280.0;;7.0;3.0;;;;;;5.0;;3.0;97.0;5.0;19.0;;;;;1.0;;1.0;;;;;;;2.0;;;;2.0;;;;1.0;;;;;;;;;;;;108.0;534
SAO BERNARDO DO CAMPO;;85.0;91583.0;252.0;4144.0;984.0;1099.0;57.0;1.0;109.0;61.0;3128.0;654.0;26192.0;90557.0;43918.0;2374.0;170.0;1116.0;980.0;1.0;74.0;3880.0;194.0;6506.0;8.0;48.0;48.0;2.0;466.0;420.0;281.0;372.0;29.0;184.0;122.0;4.0;7.0;58.0;96.0;54.0;;;;;;;848.0;1579.0;529.0;13617.0;296891
SAO CAETANO DO SUL;;108.0;34872.0;288.0;1132.0;563.0;719.0;;;86.0;2.0;1227.0;553.0;18702.0;14684.0;8095.0;568.0;30.0;104.0;219.0;;18.0;738.0;26.0;655.0;3.0;2.0;4.0;17.0;6.0;115.0;46.0;159.0;11.0;43.0;13.0;3.0;1.0;3.0;25.0;6.0;;;;;;;170.0;151.0;;3118.0;87285
