instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Poï¿½ - SP;POA;SP;119221;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;441832744.98
Prefeitura Municipal de Itajobi - SP;ITAJOBI;SP;15331;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;119584249.37
Prefeitura Municipal de Lenï¿½ï¿½is Paulista - SP;LENCOIS PAULISTA;SP;69533;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;479806570.68
Prefeitura Municipal de Biritiba-Mirim - SP;BIRITIBA MIRIM;SP;33265;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;151853748.8
Prefeitura Municipal de Guararapes - SP;GUARARAPES;SP;33257;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;171178224.25
Prefeitura Municipal de Caiuï¿½ - SP;CAIUA;SP;6017;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50933695.65
Prefeitura Municipal de Ilha Comprida - SP;ILHA COMPRIDA;SP;11552;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;145104590.03
Prefeitura Municipal de Itï¿½polis - SP;ITAPOLIS;SP;43536;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;214951404.86
Prefeitura Municipal de Cajamar - SP;CAJAMAR;SP;79034;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1037751955.71
Prefeitura Municipal de Araï¿½atuba - SP;ARACATUBA;SP;199210;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;904958913.44
Prefeitura Municipal de Jaboticabal - SP;JABOTICABAL;SP;78029;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;479743095.57
Prefeitura Municipal de Monte Azul Paulista - SP;MONTE AZUL PAULISTA;SP;18928;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;131357156.11
Prefeitura Municipal de Orlï¿½ndia - SP;ORLANDIA;SP;44682;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;288246930.19
Prefeitura Municipal de Cosmï¿½polis - SP;COSMOPOLIS;SP;74662;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;300638673.02
Prefeitura Municipal de Canitar - SP;CANITAR;SP;5365;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37553465.39
Prefeitura Municipal de Tarumï¿½ - SP;TARUMA;SP;15361;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;116889411.73
Prefeitura Municipal de Emilianï¿½polis - SP;EMILIANOPOLIS;SP;3238;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;29529843.13
Prefeitura Municipal de Pedrinhas Paulista - SP;PEDRINHAS PAULISTA;SP;3109;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37675942.66
Prefeitura Municipal de Ferraz de Vasconcelos - SP;FERRAZ DE VASCONCELOS;SP;198661;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;627961167.01
Prefeitura Municipal de Bertioga - SP;BERTIOGA;SP;66154;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;898939140.12
Prefeitura Municipal de Nova Granada - SP;NOVA GRANADA;SP;21871;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;91011675.76
Prefeitura Municipal de Bocaina - SP;BOCAINA;SP;12571;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;71591081.16
Prefeitura Municipal de Pedreira - SP;PEDREIRA;SP;48992;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;248272599.52
Prefeitura Municipal de Estiva Gerbi - SP;ESTIVA GERBI;SP;11507;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;72284247.28
Prefeitura Municipal de Oriente - SP;ORIENTE;SP;6569;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38852678.97
Prefeitura Municipal de Porto Feliz - SP;PORTO FELIZ;SP;53698;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;459466976.55
Prefeitura Municipal de Tapiraï¿½ - SP;TAPIRAI;SP;7725;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50941699.05
Prefeitura Municipal de Santana da Ponte Pensa - SP;SANTANA DA PONTE PENSA;SP;1448;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;26231032.11
Prefeitura Municipal de Adamantina - SP;ADAMANTINA;SP;35153;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;268875962.04
Prefeitura Municipal de Sebastianï¿½polis do Sul - SP;SEBASTIANOPOLIS DO SUL;SP;3595;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53935882.26
Prefeitura Municipal de Bï¿½lsamo - SP;BALSAMO;SP;9209;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52666268.07
Prefeitura Municipal de Nantes - SP;NANTES;SP;3215;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36274256.41
Prefeitura Municipal de Itapecerica da Serra - SP;ITAPECERICA DA SERRA;SP;179574;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;688092231.32
Prefeitura Municipal de Sï¿½o Joï¿½o de Iracema - SP;SAO JOAO DE IRACEMA;SP;1942;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;29092596.43
Prefeitura Municipal de Vargem Grande Paulista - SP;VARGEM GRANDE PAULISTA;SP;54315;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;273776416.49
Prefeitura Municipal de Jandira - SP;JANDIRA;SP;127734;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;519594344.79
Prefeitura Municipal de Caiabu - SP;CAIABU;SP;4195;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36114581.67
Prefeitura Municipal de ï¿½guas da Prata - SP;AGUAS DA PRATA;SP;8262;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;49185192.57
Prefeitura Municipal de Suzanï¿½polis - SP;SUZANAPOLIS;SP;4063;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;47087668.87
Prefeitura Municipal de Engenheiro Coelho - SP;ENGENHEIRO COELHO;SP;21712;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;107959192.68
Prefeitura Municipal de Iporanga - SP;IPORANGA;SP;4180;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40050682.68
Prefeitura Municipal de Ribeirï¿½o Bonito - SP;RIBEIRAO BONITO;SP;13376;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61914414.83
Prefeitura Municipal de Embu das Artes - SP;EMBU DAS ARTES;SP;279264;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1181330078.02
Prefeitura Municipal de Itapira - SP;ITAPIRA;SP;75683;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;487708229.45
Prefeitura Municipal de Elias Fausto - SP;ELIAS FAUSTO;SP;18095;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;111739224.36
Prefeitura Municipal de Dracena - SP;DRACENA;SP;47287;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;217963417.7
Prefeitura Municipal de Tabapuï¿½ - SP;TABAPUA;SP;12561;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;69922734.77
Prefeitura Municipal de Alambari - SP;ALAMBARI;SP;6231;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41409300.99
Prefeitura Municipal de Tabatinga - SP;TABATINGA;SP;16787;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;82921609.46
Prefeitura Municipal de Lucï¿½lia - SP;LUCELIA;SP;22022;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;90926780.52
Prefeitura Municipal de Ribeirï¿½o Grande - SP;RIBEIRAO GRANDE;SP;7686;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50504230.99
Prefeitura Municipal de Boituva - SP;BOITUVA;SP;63310;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;370077019.38
Prefeitura Municipal de Santa Isabel - SP;SANTA ISABEL;SP;58529;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;245862947.04
Prefeitura Municipal de Luiziï¿½nia - SP;LUIZIANIA;SP;5918;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36921096.74
Prefeitura Municipal de Novo Horizonte - SP;NOVO HORIZONTE;SP;41765;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;221346748.58
Prefeitura Municipal de Embu-Guaï¿½u - SP;EMBU-GUACU;SP;70402;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;239596086.37
Prefeitura Municipal de Tapiratiba - SP;TAPIRATIBA;SP;12940;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;70279986.49
Prefeitura Municipal de Nhandeara - SP;NHANDEARA;SP;11575;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;68063013.46
Prefeitura Municipal de Cï¿½ndido Mota - SP;CANDIDO MOTA;SP;31410;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;200088163.74
Prefeitura Municipal de Pradï¿½polis - SP;PRADOPOLIS;SP;22239;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;140811739.28
Prefeitura Municipal de Nova Canaï¿½ Paulista - SP;NOVA CANAA PAULISTA;SP;1824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28838620.5
Prefeitura Municipal de Aparecida d'Oeste - SP;APARECIDA D'OESTE;SP;4122;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38318237.91
Prefeitura Municipal de Amï¿½rico de Campos - SP;AMERICO DE CAMPOS;SP;5993;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;43060157.29
Prefeitura Municipal de Marï¿½lia - SP;MARILIA;SP;242249;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1347852849.78
Prefeitura Municipal de Itapuï¿½ - SP;ITAPUI;SP;14297;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;88466295.58
Prefeitura Municipal de Santa Rosa de Viterbo - SP;SANTA ROSA DE VITERBO;SP;26960;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;119558152.23
Prefeitura Municipal de Vargem Grande do Sul - SP;VARGEM GRANDE DO SUL;SP;43368;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;209608429.4
Prefeitura Municipal de Cunha - SP;CUNHA;SP;21373;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;110053177.56
Prefeitura Municipal de Pracinha - SP;PRACINHA;SP;4327;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;24499004.38
Prefeitura Municipal de Guaiï¿½ara - SP;GUAICARA;SP;12416;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;62987061.56
Prefeitura Municipal de Taiï¿½va - SP;TAIUVA;SP;5562;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36410860.52
Prefeitura Municipal de Sï¿½o Carlos - SP;SAO CARLOS;SP;256915;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1266421165.1
Prefeitura Municipal de Angatuba - SP;ANGATUBA;SP;25724;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;142864479.21
Prefeitura Municipal de Ubirajara - SP;UBIRAJARA;SP;4828;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;39467997.94
Prefeitura Municipal de Pereiras - SP;PEREIRAS;SP;8875;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46527317.99
Prefeitura Municipal de Jacupiranga - SP;JACUPIRANGA;SP;17911;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92114638.34
Prefeitura Municipal de General Salgado - SP;GENERAL SALGADO;SP;10855;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;73628950.64
Prefeitura Municipal de Nipoï¿½ - SP;NIPOA;SP;5381;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31421856.78
Prefeitura Municipal de Mirassolï¿½ndia - SP;MIRASSOLANDIA;SP;4966;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36386683.95
Prefeitura Municipal de Guaï¿½ra - SP;GUAIRA;SP;41283;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;321541945.29
Prefeitura Municipal de Taciba - SP;TACIBA;SP;6371;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61611037.42
Prefeitura Municipal de Panorama - SP;PANORAMA;SP;15944;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;76467459.14
Prefeitura Municipal de Assis - SP;ASSIS;SP;105768;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;583846663.32
Prefeitura Municipal de Serra Azul - SP;SERRA AZUL;SP;15292;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58333033.76
Prefeitura Municipal de Marapoama - SP;MARAPOAMA;SP;3097;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36774558.75
Prefeitura Municipal de Onda Verde - SP;ONDA VERDE;SP;4462;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;47924997.49
Prefeitura Municipal de Louveira - SP;LOUVEIRA;SP;51007;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;689155575.56
Prefeitura Municipal de Pedregulho - SP;PEDREGULHO;SP;16876;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;102426377.64
Prefeitura Municipal de Pedra Bela - SP;PEDRA BELA;SP;6127;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40334265.07
Prefeitura Municipal de Paraï¿½so - SP;PARAISO;SP;6536;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53705013.69
Prefeitura Municipal de Piquete - SP;PIQUETE;SP;13495;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;68349217.8
Prefeitura Municipal de Leme - SP;LEME;SP;105273;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;556675528.29
Prefeitura Municipal de Santa Lï¿½cia - SP;SANTA LUCIA;SP;8889;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38826386.67
Prefeitura Municipal de Manduri - SP;MANDURI;SP;9972;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57072407.46
Prefeitura Municipal de Pereira Barreto - SP;PEREIRA BARRETO;SP;25685;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;158952096.5
Prefeitura Municipal de Zacarias - SP;ZACARIAS;SP;2784;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41751046.39
Prefeitura Municipal de Franco da Rocha - SP;FRANCO DA ROCHA;SP;158438;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;669251818.11
Prefeitura Municipal de Suzano - SP;SUZANO;SP;303397;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1381700998.72
Prefeitura Municipal de Flora Rica - SP;FLORA RICA;SP;1397;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25421633.06
Prefeitura Municipal de Arujï¿½ - SP;ARUJA;SP;92453;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;528443048.9
Prefeitura Municipal de Trabiju - SP;TRABIJU;SP;1752;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;24274034.57
Prefeitura Municipal de Patrocï¿½nio Paulista - SP;PATROCINIO PAULISTA;SP;14941;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92313507.64
Prefeitura Municipal de Monteiro Lobato - SP;MONTEIRO LOBATO;SP;4739;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36190298.69
Prefeitura Municipal de Amï¿½rico Brasiliense - SP;AMERICO BRASILIENSE;SP;41545;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;170812707.64
Prefeitura Municipal de Turmalina - SP;TURMALINA;SP;1667;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31256494.12
Prefeitura Municipal de Bom Jesus dos Perdï¿½es - SP;BOM JESUS DOS PERDOES;SP;26506;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;152759369.65
Prefeitura Municipal de Itirapuï¿½ - SP;ITIRAPUA;SP;6587;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;32641764.02
Prefeitura Municipal de Taubatï¿½ - SP;TAUBATE;SP;320820;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1642351807.58
Prefeitura Municipal de Socorro - SP;SOCORRO;SP;41690;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;180245470.0
Prefeitura Municipal de Rosana - SP;ROSANA;SP;15929;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;147945626.36
Prefeitura Municipal de Irapuï¿½ - SP;IRAPUA;SP;8101;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;43164475.9
Prefeitura Municipal de Boracï¿½ia - SP;BORACEIA;SP;4913;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41026111.62
Prefeitura Municipal de Tarabai - SP;TARABAI;SP;7609;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;46477798.46
Prefeitura Municipal de Santo Antï¿½nio do Pinhal - SP;SANTO ANTONIO DO PINHAL;SP;6843;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51241534.11
Prefeitura Municipal de Serra Negra - SP;SERRA NEGRA;SP;29669;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;170885680.57
Prefeitura Municipal de Rubiï¿½cea - SP;RUBIACEA;SP;3195;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33212147.25
Prefeitura Municipal de Pontalinda - SP;PONTALINDA;SP;4719;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;32414645.48
Prefeitura Municipal de Auriflama - SP;AURIFLAMA;SP;15316;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;81465067.88
Prefeitura Municipal de Pontal - SP;PONTAL;SP;51717;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;202393481.28
Prefeitura Municipal de Indiana - SP;INDIANA;SP;4873;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30201679.8
Prefeitura Municipal de Taiaï¿½u - SP;TAIACU;SP;6346;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38680582.48
Prefeitura Municipal de Ribeirï¿½o Branco - SP;RIBEIRAO BRANCO;SP;15984;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;84643828.9
Prefeitura Municipal de Salto Grande - SP;SALTO GRANDE;SP;9396;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;51955045.5
Prefeitura Municipal de Orindiï¿½va - SP;ORINDIUVA;SP;7318;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64521670.67
Prefeitura Municipal de Santa Rita do Passa Quatro - SP;SANTA RITA DO PASSA QUATRO;SP;27641;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;150330901.17
Prefeitura Municipal de Araraquara - SP;ARARAQUARA;SP;240542;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1347668243.75
Prefeitura Municipal de Valparaï¿½so - SP;VALPARAISO;SP;27154;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;147962623.81
Prefeitura Municipal de Monï¿½ï¿½es - SP;MONCOES;SP;2274;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28653937.72
Prefeitura Municipal de Lorena - SP;LORENA;SP;89532;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;376917089.79
Prefeitura Municipal de Conchas - SP;CONCHAS;SP;18138;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;95312170.9
Prefeitura Municipal de Santa Cruz da Esperanï¿½a - SP;SANTA CRUZ DA ESPERANCA;SP;2166;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28312432.53
Prefeitura Municipal de Paulo de Faria - SP;PAULO DE FARIA;SP;8973;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66949175.63
Prefeitura Municipal de Populina - SP;POPULINA;SP;4136;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40790214.67
Prefeitura Municipal de Sï¿½o Joï¿½o da Boa Vista - SP;SAO JOAO DA BOA VISTA;SP;92315;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;596785649.54
Prefeitura Municipal de Cajati - SP;CAJATI;SP;28441;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;186687754.53
Prefeitura Municipal de Palmeira d'Oeste - SP;PALMEIRA D'OESTE;SP;9173;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50694739.9
Prefeitura Municipal de Morro Agudo - SP;MORRO AGUDO;SP;33598;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;214649528.48
Prefeitura Municipal de Guzolï¿½ndia - SP;GUZOLANDIA;SP;5346;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34744577.33
Prefeitura Municipal de Santo Antï¿½nio do Aracanguï¿½ - SP;SANTO ANTONIO DO ARACANGUA;SP;8541;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;82718235.88
Prefeitura Municipal de Icï¿½m - SP;ICEM;SP;8363;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;75672044.05
Prefeitura Municipal de Paulicï¿½ia - SP;PAULICEIA;SP;7540;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;56933868.58
Prefeitura Municipal de Palestina - SP;PALESTINA;SP;13285;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;79162086.21
