instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Ipeï¿½na - SP;IPEUNA;SP;7824;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53642413.15
Prefeitura Municipal de Mauï¿½ - SP;MAUA;SP;481725;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1549076671.25
Prefeitura Municipal de Barrinha - SP;BARRINHA;SP;33537;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141876465.5
Prefeitura Municipal de Jardinï¿½polis - SP;JARDINOPOLIS;SP;45544;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;240210808.17
Prefeitura Municipal de Santo Antï¿½nio do Jardim - SP;SANTO ANTONIO DO JARDIM;SP;5926;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35917577.25
Prefeitura Municipal de ï¿½lvares Florence - SP;ALVARES FLORENCE;SP;3616;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36436673.99
Prefeitura Municipal de Sï¿½o Simï¿½o - SP;SAO SIMAO;SP;15446;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92355293.94
Prefeitura Municipal de Presidente Alves - SP;PRESIDENTE ALVES;SP;4067;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31712602.29
Prefeitura Municipal de Pindamonhangaba - SP;PINDAMONHANGABA;SP;171885;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;891321707.05
Prefeitura Municipal de Itatinga - SP;ITATINGA;SP;21139;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;112308675.94
Prefeitura Municipal de Alvinlï¿½ndia - SP;ALVINLANDIA;SP;3251;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27864581.03
Prefeitura Municipal de Cruzï¿½lia - SP;CRUZALIA;SP;2021;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31594867.66
Prefeitura Municipal de Arealva - SP;AREALVA;SP;8665;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52969754.3
Prefeitura Municipal de Duartina - SP;DUARTINA;SP;12421;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;72959769.66
Prefeitura Municipal de Mirante do Paranapanema - SP;MIRANTE DO PARANAPANEMA;SP;18415;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;120199516.04
Prefeitura Municipal de Sï¿½o Sebastiï¿½o da Grama - SP;SAO SEBASTIAO DA GRAMA;SP;12137;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58419346.13
